OBJECTID,GROUP_NAME,GROUP_ID,COMB_DEP_IDs,COMB_NAMES,COMB_DMEA,LONGITUDE,LATITUDE,STATE,COUNTY,COMM_PRIM,COMM_SEC_TER,DEP_TYPE,WORK_TYPE,MODEL,ALTERATION,REFS,PROD_t,PROD_pct_WO3,PROD_WO3_t,PROD_WO3_stu,RESOUR_t,RESOUR_pct_WO3,RESOUR_WO3,RANK,URL
11,Balch Claims,11,10101400 | 10188196,Balch Claims | Mc Bride Tungsten | Mcbride Tungsten,,-119.117531,36.8999229,California,Fresno,W,,,,,,"Lemmon and Tweto, 1962 | Jenkins, 1942a | Krauskopf, 1953 | Logan and others, 1951",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10101400
12,Bear Creek Mine,12,10134495,Atomic Enegy Claims | Bear Creek Mine,4215,-119.2179285,36.9484409,California,Fresno,W,,,,,,,,,,,,,,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10134495
13,Benson-McMurtry,13,10008667 | 10255908 | 10076547 | 10188094,Rabbit's Foot | Benson-Mc Murtry Deposit | Benson | Benson-Mcmurty,,-119.2835088,36.9836524,California,Fresno,W,,,,,,"Lemmon and Tweto, 1962 | Krauskopf, 1953 | Logan and others, 1951",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008667
14,Big Buck-Gumbo Gulch,14,10285366,Big Buck-Gumbo Gulch,,-119.0060388,36.8623633,California,Fresno,W,,,,,,"WFOC MINERAL PROPERTY FILE NO 0060190417 | Nokleberg and others, 1983",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10285366
15,Big Oak,15,10008665 | 10110650 | 10236307,Big Oak,,-119.5011185,36.9997155,California,Fresno,W,W,,,,,"Lemmon and Tweto, 1962 | Jenkins, 1942a | Krauskopf, 1953 | Logan and others, 1951",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008665
16,Blue Star,16,10115433,Blue Star,,-119.1119319,36.8727857,California,Fresno,W,,,,,,"WFOC MINERAL PROPERTY FILE NO 0060190421. | USBM MLA OFR 5-82 | Nokleberg and others, 1983",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10115433
17,Clingan Scheelite,17,10285015,Clingan Scheelite,,-119.1734729,36.7552591,California,Fresno,W,,,,,,"Logan and others, 1951",,,,,,,,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10285015
18,Converse Creek,18,10212514 | 10008671,Converse Creek,,-118.9891908,36.8409875,California,Fresno,W,,,,,,"Lemmon and Tweto, 1962 | Krauskopf, 1953",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10212514
19,Dinkey Creek,19,10101398 | 10163749 | 10076551 | 10285127 | 10183580 | 10115108,Dinkey Creek Mine | Sadler | Lobo Mine | Dinkey Creek | Joe Sadler,2125,-119.145407,37.0454969,California,Fresno,W,,,,,,"Lemmon and Tweto, 1962 | Jenkins, 1942a | Krauskopf, 1953 | Logan and others, 1951",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10101398
20,Dixie Queen,20,10008674 | 10284866,Dixie Queen and Hurley | Dixie Queen,"3516, 0696",-119.1355431,36.7343814,California,Fresno,W,,,,,,"Lemmon and Tweto, 1962 | Jenkins, 1942a | Krauskopf, 1953 | Logan and others, 1951",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008674
21,Emerald Peak Claims,21,10114971 | 10008661,Emerald Peak Claims,,-118.7793806,37.1729732,California,Fresno,"CU, MO, W","CU, MO",,,,,"Lemmon and Tweto, 1962 | Jenkins, 1942a | Logan and others, 1951 | Krauskopf, 1953",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10114971
22,Fulgham Prospect,22,10138971 | 10035143,Fulgham Prospect,,-119.169031,36.7496034,California,Fresno,W,,,,,,"Krauskopf, 1953",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10138971
23,Garnet,23,10261030 | 10008662 | 10076550,Garnet | Garnet Mine,,-119.0912571,37.1435414,California,Fresno,W,,,,,,"Symons and Davis, 1954 | Symons and Davis, 1955 | Lemmon and Tweto, 1962 | Jenkins, 1942a | Wright, 1968 | Symons and Davis, 1954 |Jenkins, 1942a | Logan, 1951 | Kerr, 1940 | Logan and others, 1951",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10261030
24,Garnet Dike,24,10101388 | 10211881 | 10009188 | 10260533,Garnet Dike | Garnet Pike | Garnet Dike Mine,,-119.0109102,36.8771701,California,Fresno,"W, BI","MO, CU, W",,Surface | Underground,,,"Lemmon and Tweto, 1962 | Cooper, 1962 | Krauskopf, 1953 | Logan and others, 1951",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10101388
25,Ground Hog,25,10285458 | 10035145,Ground Hog,,-119.2769603,36.9838159,California,Fresno,W,,,,,,"Davis and Fischer, 1958 | Wallace and others, 1954 | Krauskopf, 1953",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10285458
26,Hacker Mountain Mine,26,10285361,Hacker Mountain Mine,1546,-119.2944463,36.9151352,California,Fresno,AU,"AG, FE, W",,,,,,,,,,,,,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10285361
27,Home Front Prospect,27,10139259 | 10212306,Humphreys | Home Prospect | Home Front | Western Sierra Scheelite Co.,,-119.4088329,37.0055396,California,Fresno,W,,,,,,"Jenkins, 1942a | Logan and others, 1951 | Krauskopf, 1953",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10139259
28,Homers Tungsten Quartz Claim,28,10188318 | 10008663,Homers Tungsten Quartz Claim | Homer's Tungsten and Little Uncle,,-119.1008654,37.0666455,California,Fresno,W,W,,,,,"Lemmon and Tweto, 1962 | Krauskopf, 1953",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10188318
