OID_,source_ID,Lat_NAD83,Long_NAD83,dep_id,mrds_id,mas_id,site_name,names
280,MRDS_281,45.565483598299998,-113.257287204999997,10269272, ,0300010578,Silver Bear Claim, 
281,MRDS_282,46.205443526099998,-113.098677112000004,10019071,DC08479, ,Silver Chain Mine, 
282,MRDS_283,46.829093400100000,-112.364777137000004,10270473, ,0300490070,Silver Crescent Tungsten Claims,Cotter Tungsten
283,MRDS_284,45.179873806499998,-115.089246915000004,10120381,W015222,0160850454,Silver Dome Claim,Idaho Primitive Area.
284,MRDS_285,46.158183543600003,-113.240297092000006,60000346,D009554, ,Silver Lake District, 
285,MRDS_286,46.160993541499998,-113.220617095999998,10069760,W007435, ,Silver Moss Mine,Hansen - Meloy Prospect
286,MRDS_287,45.368483655900000,-113.675897157999998,10172490,FS00097,0300010583,Silver Ridge Group,"Slag-A-Melt Mine, Ranger Mine, Gold Ridge, Comet, Joker"
287,MRDS_288,44.369993708499997,-113.264387424999995,10144857, ,0160590316,Sims Magnetite Deposit,"Divide, Old Timer, Tempest, Hematite, Sunny Side"
288,MRDS_289,45.052403399500001,-110.606077858000006,10019166,DC08848, ,Sin Nombre Mine, 
289,MRDS_290,45.684273680799997,-114.225326987000003,10221899, ,0300810017,Slate Creek Prospect, 
290,MRDS_291,46.039883612600001,-113.837816993999994,10124396, ,0300810165,Sleeping Child, 
291,MRDS_292,46.192383527799997,-113.101727113999999,10102001,DC10947, ,Smith  Prospect, 
292,MRDS_293,45.157973839100002,-115.410356856999996,10145076,W014895,0160850026,Snowbird,"Mcray Mine, Red Bluffs, Mccrae"
293,MRDS_294,46.677673423100003,-112.468107146999998,10103878,M060193, ,Snowshoe Gulch Tungsten Property,"Strategic, Arnold Bielenberg, Shamrock, Snowbird, Montana Old Lady Smith, Friday, Boulder Ore"
294,MRDS_295,45.045733399600003,-110.599967860000007,10105723,W014714, ,Snowshoe Mine,Hulse Group
295,MRDS_296,46.186783526900001,-113.088997117000005,10173060, ,0300230022,Some Mine, 
296,MRDS_297,46.623473662199999,-114.840156672999996,10216924, ,0160350209,Southeast Blacklead Mountain Pros., 
297,MRDS_298,45.284583662800003,-113.671697175000006,10293555, ,0300010610,Souviner Prospect, 
298,MRDS_299,46.533493363100000,-111.720857334000002,10173057, ,0300070295,Spokane Hills Mine,Spokane Hill Mine
299,MRDS_300,44.782773866399999,-115.366926935999999,10070818,W013918,160850004,Springfield Scheelite Mine,White Mare Group
300,MRDS_301,45.214263889599998,-115.980366736999997,10242150, ,0160850003,Squaw Peak,"Squaw Pk, Payette & Campbird Gps, French Creek-Patrick ButteSquaw, Campbird-Payette Group"
301,MRDS_302,45.085503398999997,-110.633297846000005,10270668, ,0300670333,Standard Group, 
302,MRDS_303,45.388783573799998,-112.827547327999994,10019835,DC11671, ,Stanfield Prospect, 
303,MRDS_304,45.532393564800003,-112.871677290999997,10293898, ,0300010454,Star Claims, 
