OID_,loc_source,source_ID,Tract_name,Area_Name,Name,Name_other,Country,State_Prov,County,Lat_NAD83,Long_NAD83,SiteStatus,Dev_Status,DevStatSo,SiteRank,SiteRankNo,Dep_type,DepTypeSo,I_POLYID,I_Distance,NR_I_LABEL,NR_I_NAME,NR_I_STYL,NR_I_LITH,NR_I_MNAGE,NR_I_MXAGE,SG_I_LAB,SG_I_NAME,SG_I_MJR1,SG_I_MJR2,SG_I_MJR3,SG_I_GNLTH,SG_I_MNAGE,SG_I_MXAGE,I_AGE,C_POLYID,C_Distance,NR_C_LAB,NR_C_NAME,NR_C_AGE,NR_C_LNME2,SG_C_LAB,SG_C_NAME,SG_C_MJR1,SG_C_MJR2,SG_C_MJR3,SG_C_GNLTH,SG_C_MNAGE,SG_C_MXAGE,MRDS_com1,MRDS_com2,MRDS_com3,KLEIN_met,IGS_ComL,MBMG_COM,DMEA_COM,MRDS_ore,MRDS_gangu,MRDS_othr,MRDS_PrRes,KLEIN_MTon,KLEIN_PrYr,SPANSKI_W,SPANSKI_Pr
114,KLEIN_27,KLEIN_27, , ,Merry Blue, ,USA,Idaho,Valley,44.349899777600001,-115.584278024000000,Site, , ,1, , , ,805,0.000000000000000,Kgbm,"Cretaceous granitoid rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite, trondhjemite, monzogranite, aplite, pegmatite, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,"W, Ag, Cu, Pb", , , , , , , , , , , 
115,KLEIN_41,KLEIN_41, , ,Prospect, ,USA,Idaho,Lemhi,44.538534033200001,-113.661706327999994,Site, , ,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,W, , , , , , , , , , , 
116,KLEIN_45,KLEIN_45; MRDS_261; SPANSKI_35, , ,Red Mountain Mine,Quartz Creek Prospect; Red Mountain,USA,Idaho,Valley,45.000907053600002,-115.465246453000006,Site,Occurrence,MRDS,1, ,Mo-W Unknown,MRDS,417,0.000000000000000,Kgbm,"Cretaceous granitoid rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite, trondhjemite, monzogranite, aplite, pegmatite, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,Mo,"W, Sb, Au", ,"Au, Mo, W, Sb", , , , , , , ,9e+06, , , 
117,KLEIN_46,IGS_25; KLEIN_46,Cretaceous GFTZ,Thompson Creek,Red Robin No. 3 Prospect, ,USA,Idaho,Custer,44.029110206100000,-114.662900454999999,Site,Exp Pros,IGS,1, , , ,1077,150.000000000000000,Kgap,"Cretaceous leucogranite, aplite, and pegmatite",plutonic,"leucogranite, aplite, pegmatite, granophyre, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,2819,0.000000000000000,Pzsr,Salmon River assemblage,Paleozoic,metamorphosed siliciclastic and carbonate sedimentary rocks, , , , , , , , , , , ,"W, Mo","Mo, W, Ag, Zn", , , , , , , , , , 
118,KLEIN_49,IGS_63; KLEIN_49; MRDS_270, , ,Rosebud Claims,Kentuck Mine,USA,Idaho,Lemhi,44.547701307499999,-113.718931150000003,Site,Occurrence,MRDS,2, ,Vein/replacement,MRDS,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , ,W, , ,"W, Ag, Cu, Pb","W, Ag, Fe, Cu, Pb", , ,Scheelite,Quartz, , , , , , 
119,KLEIN_50,KLEIN_50, , ,Silver Queen, ,USA,Idaho,Lemhi,44.595922637400001,-113.551872285000002,Site, , ,1, , , ,688,46.000000000000000,Tgqmd,"Tertiary granitoid rocks, quartz monzodiorite suite",plutonic,"granodiorite, monzogranite of quartz monzodiorite suite (with hornblende and biotite)",Tertiary,Tertiary, , , , , , , , ,Tertiary,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,"Cu, Mo, W", , , , , , , , , , , 
120,KLEIN_53,KLEIN_53; MRDS_317,Cretaceous GFTZ,Yellow Pine,Syringa Occurrence,Syringa Claims,USA,Idaho,Valley,45.054458172200000,-115.417110557000001,Site,Occurrence,MRDS,2, ,W Unknown,MRDS,453,0.000000000000000,Kgbm,"Cretaceous granitoid rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite, trondhjemite, monzogranite, aplite, pegmatite, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,1464,1157.000000000000000,Zmr,Missouri Ridge Formation,Late Proterozoic,metamorphosed mixed carbonate/siliciclastic sedimentary rocks, , , , , , , , ,W, , ,W, , , ,Scheelite, , , , , , , 
121,KLEIN_54,IGS_118; KLEIN_54; MRDS_318,Cretaceous GFTZ, ,Teds Group, ,USA,Idaho,Idaho,45.258247871400002,-114.801764668999994,Prospect,Occurrence,MRDS,3, ,Vein/replacement,MRDS,319,0.000000000000000,Kgbm,"Cretaceous granitoid rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite, trondhjemite, monzogranite, aplite, pegmatite, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,"Ag, W","Au, Pb", ,"Ag, W","Au, Ag, W, Pb", , , ,"Hematite, Limonite, Pyrite, Quartz", , , , , , 
122,KLEIN_57,IGS_59; KLEIN_57; MRDS_332, , ,Tungstar Mine,Fall Cr. Prospect; Mullin Mines Inc.,USA,Idaho,Idaho,45.813790909600002,-115.655966750000005,Site,Past Producer,MRDS,2, ,Vein/replacement,MRDS,2566,0.000000000000000,Kgd,Cretaceous granodioritic rocks,plutonic,"hornblende-biotite granodiorite, tonalite, and minor biotite-muscovite monzogranite, undivided",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,W, , ,"W, Ag, Cu, Pb",W, , ,Scheelite,Quartz, , , , , , 
123,KLEIN_58,KLEIN_58, , ,Tungsten Gate, ,USA,Idaho,Lemhi,44.533256405700001,-113.684206873999997,Site, , ,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,"W, Ag, Au, Cu", , , , , , , , , , , 
124,KLEIN_61,KLEIN_61,Cretaceous GFTZ,Thompson Creek,Washington Peak Mine,Blackman Mine,USA,Idaho,Custer,44.017965382500002,-114.678678419999997,Site, , ,1, , , ,1077,417.000000000000000,Kgap,"Cretaceous leucogranite, aplite, and pegmatite",plutonic,"leucogranite, aplite, pegmatite, granophyre, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,2813,0.000000000000000,P[Pgp,Grand Prize Formation,Permian-Pennsylvanian,mixed siliciclastic/carbonate sedimentary rocks, , , , , , , , , , , ,"W, Ag, Cu, Pb", , , , , , , , , , , 
125,KLEIN_62,KLEIN_62,Cretaceous GFTZ,Thompson Creek,White Cloud,Baker Lake; Little Boulder Creek,USA,Idaho,Custer,44.056217634900001,-114.559592331999994,Site, , ,1, , , ,1069,11.000000000000000,Kgap,"Cretaceous leucogranite, aplite, and pegmatite",plutonic,"leucogranite, aplite, pegmatite, granophyre, alaskite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,2780,0.000000000000000,P[Pwru,"Wood River Formation, upper part",Permian-Pennsylvanian,mixed siliciclastic/carbonate sedimentary rocks, , , , , , , , , , , ,"Mo, W", , , , , , , ,1.23e+08, , , 
126,KLEIN_63,IGS_13; KLEIN_63; MRDS_372, , ,White Hawk Meadows,Whitehawk Basin,USA,Idaho,Valley,44.240179124599997,-115.492605740000002,Site,Occurrence,MRDS,2, ,W Unknown,MRDS,903,0.000000000000000,Kgdb,Cretaceous granodioritic rocks with biotite,plutonic,"biotite granodiorite, tonalite, monzogranite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,W, , ,"W, Ag, Cu, Pb",W, , ,"Scheelite, Wolframite", , , , , , , 
127,KLEIN_67,KLEIN_67; MBMG_15,Cretaceous GFTZ,Northern Boulder,Anderson Prospect, ,USA,Montana,Lewis and Clark,46.615234607500000,-112.188341035999997,Site,Unknown,MBMG,1, , , ,2378,38.000000000000000,Kgd,Cretaceous granodioritic rocks,plutonic,"hornblende-biotite granodiorite, tonalite, and minor biotite-muscovite monzogranite, undivided",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,8749,0.000000000000000,Mml,Madison Group,Mississippian,carbonate sedimentary rocks, , , , , , , , , , , ,"W, Mo, Au", ,"W, Au", , , , , , , , , 
128,KLEIN_7,DMEA_2; IGS_45; KLEIN_7; MRDS_37,Cretaceous GFTZ,Thompson Creek,Buckskin,Buckskin Claims; Buckskin Mine; Roosevelt Claims; Roosvelt Mine; Thompson Creek,USA,Idaho,Custer,44.320815377800002,-114.564805062999994,Prospect,Past Producer,MRDS,4, ,Skarn,MRDS,867,1446.000000000000000,Kgdb,Cretaceous granodioritic rocks with biotite,plutonic,"biotite granodiorite, tonalite, monzogranite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,2519,0.000000000000000,Pzsr,Salmon River assemblage,Paleozoic,metamorphosed siliciclastic and carbonate sedimentary rocks, , , , , , , , ,"W, Zn, Cu, Ag", , ,"Cu, Zn, W","Cu, Zn, W, Pb, Ag", ,"W, Pb, Zn","Chalcopyrite, Scheelite, Sphalerite","Garnet, Quartz, Siderite, Vesuvianite", , , , , , 
129,KLEIN_70,DMEA_18; KLEIN_70; MBMG_179; MRDS_9, , ,Bear and Float Prospect,Bear and Float; Bear and Float Claims,USA,Montana,Granite,46.444925659500001,-113.366204776000004,Site,Occurrence,MRDS,1, ,Vein-wolframite,MRDS,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , ,W, , ,W, ,"W, Ag",W,Huebnerite,"Pyrite, Quartz", ,None, , , , 
130,KLEIN_75,KLEIN_75,Cretaceous GFTZ,Pioneer,Black Lion, ,USA,Montana,Beaverhead,45.402625177899999,-112.806462162000003,Site, , ,1, , , ,1266,69.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,4036,0.000000000000000,[PMsrmg,"Snowcrest Range Group and Madison Group, undivided",Pennsylvanian-Mississippian,carbonate and siliciclastic sedimentary rocks, , , , , , , , , , , ,W, , , , , , , , , , , 
131,KLEIN_76,DMEA_19; KLEIN_76; MBMG_176; MRDS_53; SPANSKI_135, , ,Black Pine Mine,Black Pine; Black Pine Dump; Black Pine Tailings; Combination Mill Tailings; Combination Mine,USA,Montana,Granite,46.447725673699999,-113.366504883999994,Site,Past Producer,MRDS,2, ,Polymetallic vein,MRDS,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , ,Ag, ,"Cu, W","Ag, Au, Cu, W, Pb, Zn", ,"Ag, Cu, W",W,"Hiebnerite, Stoizite, Scheelite(?)", , ,"1 ton 23% WO3, 2,378,718 oz Ag, 180 tons Cu, 578 oz Au",2518000,1885-1985,W Production; W Other Resource,1476000 st
132,KLEIN_79,KLEIN_79,Cretaceous GFTZ,Northern Boulder,Blue Belle, ,USA,Montana,Powell,46.624374492800001,-112.305018309999994,Site, , ,1, , , ,2386,0.000000000000000,Kms,Cretaceous monzonite-syenite suite,plutonic,"monzonite, quartz monzonite, leucomonzonite; syenite, alkali-feldspar syenite, quartz syenite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,8757,200.000000000000000,PMssr,"Shedhorn Sandstone, Phosphoria Formation, Park City Formation, Quadrant Formation, and Snowcrest Range Group, undivided",Permian-Mississippian,siliciclastic and carbonate sedimentary rocks, , , , , , , , , , , ,W, , , , , , , , , , , 
133,KLEIN_8,IGS_65; KLEIN_8; MRDS_54, , ,Compton Claims, ,USA,Idaho,Lemhi,44.549923587199999,-113.723098085999993,Site,Occurrence,MRDS,1, ,Vein-wolframite,MRDS,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , ,W, , ,"W, Ag, Cu, Pb",W, , ,Huebnerite, , , , , , , 
134,KLEIN_84,KLEIN_84,Cretaceous GFTZ,Northern Boulder,Butterfly, ,USA,Montana,Powell,46.671874684199999,-112.535302372999993,Site, , ,1, , , ,2370,0.000000000000000,Kgd,Cretaceous granodioritic rocks,plutonic,"hornblende-biotite granodiorite, tonalite, and minor biotite-muscovite monzogranite, undivided",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,8693,1020.000000000000000,Mml,Madison Group,Mississippian,carbonate sedimentary rocks, , , , , , , , , , , ,"W, Mo", , , , , , , , , , , 
135,KLEIN_86,MBMG_29,Cretaceous GFTZ,Pioneer,Cannivan Gulch,Sheep Mountain Tungsten Prospect,USA,Montana,Beaverhead,45.654625650299998,-112.956469065999997,Site,Exp Prospect,MBMG,1, , , ,200,1344.000000000000000,Tgbm,"Tertiary granitic rocks with biotite, muscovite",plutonic,"biotite-muscovite granite, granodiorite",Tertiary,Tertiary, , , , , , , , ,Tertiary,9019,0.000000000000000,MDtj,"Three Forks Formation and Jefferson Formation, undivided",Mississippian-Devonian,carbonate sedimentary rocks, , , , , , , , , , , , , ,W, , , , , , , , , 
136,KLEIN_9,IGS_47; KLEIN_9; MRDS_75,Cretaceous GFTZ,Thompson Creek,Flintstone Group, ,USA,Idaho,Custer,44.251303419700001,-114.585070135999999,Site,Prospect,MRDS,2, ,W Unknown,MRDS,967,0.000000000000000,Kgdb,Cretaceous granodioritic rocks with biotite,plutonic,"biotite granodiorite, tonalite, monzogranite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,2523,37.000000000000000,Pzsr,Salmon River assemblage,Paleozoic,metamorphosed siliciclastic and carbonate sedimentary rocks, , , , , , , , ,"Ag, W","Au, Pb, Zn",Cu,"W, Ag, Pb, Zn, Cu","W, Au, Cu, Zn, Ag, Pb", , ,Scheelite,"Pyrite, Quartz", , , , , , 
137,KLEIN_92,KLEIN_92; MBMG_136; MRDS_60, , ,Crown Point,Beaverhead National Forest; Crown Point Claim; Crown Point Claims,USA,Montana,Madison,45.580525946500003,-111.989719069000003,Site,Past Producer,MRDS,1, ,W Unknown,MRDS,2647,0.000000000000000, , , , , , ,Kgt;0,Granitic rock,Granitic, , ,"Igneous, intrusive",Phanerozoic - Mesozoic - Cretaceous,Phanerozoic - Mesozoic - Cretaceous,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,W, ,"Pb, Au, Cu, Zn, Ag","W, Ag, Sb, Cu", ,"W, Cu, Ag", , , , , , , , , 
138,KLEIN_93,KLEIN_93,Cretaceous GFTZ,Northern Boulder,Cyclone,Whirlwind,USA,Montana,Lewis and Clark,46.699935531900003,-112.505030688000005,Site, , ,1, , , ,2370,291.000000000000000,Kgd,Cretaceous granodioritic rocks,plutonic,"hornblende-biotite granodiorite, tonalite, and minor biotite-muscovite monzogranite, undivided",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,8635,0.000000000000000,MDtm,"Three Forks Formation, Jefferson Formation, and Maywood Formation, undivided",Mississippian-Devonian,carbonate and siliciclastic sedimentary rocks, , , , , , , , , , , ,"Au, W", , , , , , , ,28,1942-1961, , 
139,KLEIN_97,KLEIN_97, , ,Dubois Creek, ,USA,Montana,Beaverhead,45.462425488599997,-112.885585297000006,Site, , ,1, , , ,1275,0.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,"Cu, Mo, Pb, W, Sn", , , , , , , , , , , 
140,KLEIN_99,KLEIN_99; MRDS_73,Cretaceous GFTZ,Philipsburg,Finley Basin Prospect,No Claims,USA,Montana,Granite,46.367427081499997,-113.067285077999998,Prospect,Occurrence,MRDS,5, ,Skarn,MRDS,2459,1045.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,8935,0.000000000000000,PDsm,"Shedhorn Sandstone, Phosphoria Formation, Park City Formation, Quadrant Formation, Snowcrest Range Group, Madison Group and related rocks, Three Forks Formation, Jefferson Formation, and Maywood Formation, undivided",Permian-Devonian,siliciclastic and carbonate sedimentary rocks, , , , , , , , ,W, ,"Cu, Ag",W, , , , , , , , , , , 
141,MBMG_101,MBMG_101,Cretaceous GFTZ, ,Custer Mill, ,USA,Montana,Broadwater,46.452432203299999,-111.664109499999995,Site,Producer,MBMG,1, , , ,2461,607.000000000000000,Kqm,Cretaceous quartz-monzonitic rocks,plutonic,"quartz monzonite, monzogranite, quartz-bearing monzonite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , , ,W, , , , , , , , , 
142,MBMG_111,MBMG_111,Cretaceous GFTZ,Philipsburg,Hilltop Claim, ,USA,Montana,Granite,46.113524835000000,-113.287591965000004,Site,Unknown,MBMG,1, , , ,1987,1642.000000000000000,Kqdt,Cretaceous quartz diorite-tonalite suite,plutonic,"quartz diorite, tonalite, trondhjemite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,7813,0.000000000000000,Crlf,"Red Lion Formation, Hasmark Formation, Silver Hill Formation, and Flathead Sandstone, undivided",Cambrian,carbonate and siliciclastic sedimentary rocks, , , , , , , , , , , , , ,W, , , , , , , , , 
143,MBMG_112,KLEIN_153; MBMG_112; MRDS_212,Cretaceous GFTZ,Philipsburg,North Star,North Star Prospect,USA,Montana,Granite,46.336625986500003,-113.285296712000005,Site,Past Producer,MRDS,2,no evidence of skarn in literature,Skarn,MRDS,2618,1634.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,7646,0.000000000000000,PDsm,"Shedhorn Sandstone, Phosphoria Formation, Park City Formation, Quadrant Formation, Snowcrest Range Group, Madison Group and related rocks, Three Forks Formation, Jefferson Formation, and Maywood Formation, undivided",Permian-Devonian,siliciclastic and carbonate sedimentary rocks, , , , , , , , ,"Cu, Ag", ,"W, Mo","Cu, Ag, W, Mo", ,"W, Ag, Cu", ,"Gold, Powellite, Scheelite",Quartz, ,"86,691 lb ore 4-7% Cu and 1.7 optAg", , , , 
144,MBMG_113,DMEA_17; KLEIN_68; MBMG_113; MRDS_7, , ,Argo Mine and Mill,Argo Mine,USA,Montana,Granite,46.579625828099999,-113.570619054999995,Site,Unknown,MRDS,1,not skarn in the literature,Skarn,MRDS,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,7472,253.000000000000000,Ysh,Shepard Formation,Middle Proterozoic,metamorphosed mixed siliciclastic/carbonate sedimentary rocks, , , , , , , , ,W, , ,"Au, Ag, W", ,W,W, , , , , , , , 
145,MBMG_129,MBMG_129,Cretaceous GFTZ,Philipsburg,"Unknown Sec 11, T4n, R14w", ,USA,Montana,Granite,46.113524548999997,-113.297792080999997,Site,Exp Prospect,MBMG,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,7810,0.000000000000000,PDsm,"Shedhorn Sandstone, Phosphoria Formation, Park City Formation, Quadrant Formation, Snowcrest Range Group, Madison Group and related rocks, Three Forks Formation, Jefferson Formation, and Maywood Formation, undivided",Permian-Devonian,siliciclastic and carbonate sedimentary rocks, , , , , , , , , , , , , ,"Au, Ag, Cu, W", , , , , , , , , 
146,MBMG_143,MBMG_143, , ,Eddy Creek, ,USA,Montana,Sanders,47.486035680199997,-115.120375929999994,Site,Past Producer,MBMG,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , , ,"Pb, W, Ag", , , , , , , , , 
147,MBMG_146,KLEIN_115; MBMG_146; MRDS_113,Cretaceous GFTZ,Pioneer,Hazel Prospect, ,USA,Montana,Beaverhead,45.331823169899998,-113.037572890999996,Prospect,Occurrence,MRDS,4, ,Skarn,MRDS,2606,0.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,1345,130.000000000000000,PMpq,"Phosphoria Formation and Quadrant Formation, undivided",Permian-Mississippian,mixed siliceous/phosphatic rocks, , , , , , , , ,"W, Mo", , ,"W, Mo", ,W, ,"Powellite, Scheelite", , ,None, , , , 
148,MBMG_147,DMEA_14; KLEIN_136; MBMG_147; MRDS_166,Cretaceous GFTZ,Pioneer,Lost Creek Mine ""B"" Adit,Lost Creek; Lost Creek Deposit; Lost Creek Mine,USA,Montana,Beaverhead,45.486026285500003,-112.803362277999994,Prospect,Past Producer,MRDS,4, ,Skarn,MRDS,2606,86.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,3884,0.000000000000000,PMpq,"Phosphoria Formation and Quadrant Formation, undivided",Permian-Mississippian,mixed siliceous/phosphatic rocks, , , , , , , , ,W,Mo, ,"W, Mo", ,W,W,"Molybdenite, Powellite, Scheelite","Diopside, Epidote", , ,19190, , , 
149,MBMG_150,MBMG_150,Cretaceous GFTZ, ,Spokane Hills Mill, ,USA,Montana,Broadwater,46.435732214100000,-111.647708092000002,Site,Past Producer,MBMG,1, , , ,2461,1965.000000000000000,Kqm,Cretaceous quartz-monzonitic rocks,plutonic,"quartz monzonite, monzogranite, quartz-bearing monzonite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , , ,W, , , , , , , , , 
150,MBMG_156,MBMG_156,Cretaceous GFTZ,Philipsburg,Minerals Processing Mill, ,USA,Montana,Granite,46.333825125799997,-113.300596987000006,Site,Past Producer,MBMG,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,7646,912.000000000000000,PDsm,"Shedhorn Sandstone, Phosphoria Formation, Park City Formation, Quadrant Formation, Snowcrest Range Group, Madison Group and related rocks, Three Forks Formation, Jefferson Formation, and Maywood Formation, undivided",Permian-Devonian,siliciclastic and carbonate sedimentary rocks, , , , , , , , , , , , , ,W, , , , , , , , , 
151,MBMG_175,MBMG_175, , ,Gospel Hill Adit, ,USA,Montana,Deer Lodge,46.238827424800000,-112.607562619999996,Site,Unknown,MBMG,1, , , ,2499,0.000000000000000,Kmgbh,"Cretaceous monzogranitic rocks with biotite, hornblende",plutonic,"biotite-hornblende monzogranite, quartz monzonite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , , ,W, , , , , , , , , 
152,MBMG_180,MBMG_180,Cretaceous GFTZ,Philipsburg,Isabella, ,USA,Montana,Granite,46.334325931099997,-113.282595935000003,Site,Unknown,MBMG,1, , , ,2618,1428.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,7646,0.000000000000000,PDsm,"Shedhorn Sandstone, Phosphoria Formation, Park City Formation, Quadrant Formation, Snowcrest Range Group, Madison Group and related rocks, Three Forks Formation, Jefferson Formation, and Maywood Formation, undivided",Permian-Devonian,siliciclastic and carbonate sedimentary rocks, , , , , , , , , , , , , ,"Mn, Ag, W", , , , , , , , , 
153,MBMG_185,MBMG_185; MRDS_249,Cretaceous GFTZ,Northern Boulder,Price Group Mine, ,USA,Montana,Powell,46.689635603699998,-112.486659814999996,Site,Unknown,MRDS,1, ,Au-W Unknown,MRDS,2370,0.000000000000000,Kgd,Cretaceous granodioritic rocks,plutonic,"hornblende-biotite granodiorite, tonalite, and minor biotite-muscovite monzogranite, undivided",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,8646,106.000000000000000,Mml,Madison Group,Mississippian,carbonate sedimentary rocks, , , , , , , , ,Au, ,"Cu, Ag, W", , ,"Au, Ag, Cu, W", , , , , , , , , 
154,MBMG_187,MBMG_187, , ,Stibnite Hill Mine, ,USA,Montana,Sanders,47.567432865599997,-115.602691953000004,Site,Past Producer,MBMG,1, , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , ,-9999,-9999.000000000000000, , , , , , , , , , , , , , , , , ,"Sb, W", , , , , , , , , 
155,MBMG_2,KLEIN_112; MBMG_2; MRDS_106,Cretaceous GFTZ,Pioneer,Greenstone Mine, ,USA,Montana,Beaverhead,45.412724988699999,-112.804162390000002,Prospect,Past Producer,MRDS,4, ,Skarn,MRDS,1266,114.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,4014,0.000000000000000,PMpq,"Phosphoria Formation and Quadrant Formation, undivided",Permian-Mississippian,mixed siliceous/phosphatic rocks, , , , , , , , ,"Cu, Ag","Au, W", ,"Cu, Ag, Au, W", ,"Cu, W", ,"Powellite, Scheelite","Calcite, Epidote, Garnet, Quartz, Talc", ,1 ton 1.2% WO3,96, , , 
156,MBMG_20,KLEIN_146; MBMG_20; MRDS_197, , ,Mountain Rose Claim,Mountain Rose,USA,Montana,Madison,45.576026257199999,-111.960518402000005,Site,Occurrence,MRDS,1, ,Vein-wolframite,MRDS,2647,0.000000000000000, , , , , , ,Kgt;0,Granitic rock,Granitic, , ,"Igneous, intrusive",Phanerozoic - Mesozoic - Cretaceous,Phanerozoic - Mesozoic - Cretaceous,Cretaceous,-9999,-9999.000000000000000, , , , , , , , , , , , ,W, , ,"W, Ag, Mn, Cu, Sb", ,W, ,Huebnerite,Quartz, , , , , , 
157,MBMG_25,KLEIN_98; MBMG_25,Cretaceous GFTZ,Pioneer,Agnes Lode,Echo Agnes,USA,Montana,Beaverhead,45.321323534500003,-113.043673374999997,Prospect,Exp Prospect,MBMG,3,""tactite"" mentioned in literature, , ,2606,154.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,1352,0.000000000000000,[PMsrmg,"Snowcrest Range Group and Madison Group, undivided",Pennsylvanian-Mississippian,carbonate and siliciclastic sedimentary rocks, , , , , , , , , , , ,"W, Cu", ,W, , , , , , , , , 
158,MBMG_26,MBMG_26; MRDS_111,Cretaceous GFTZ,Pioneer,Haggerty Property,"Haggerty Claim, Kopper Koin",USA,Montana,Beaverhead,45.392125129500002,-112.823663461999999,Prospect,Occurrence,MRDS,4, ,Skarn,MRDS,1266,0.000000000000000,Kgdbh,"Cretaceous granodioritic rocks with biotite, hornblende",plutonic,"biotite-hornblende granodiorite, tonalite, trondhjemite, monzogranite, granite",Cretaceous,Cretaceous, , , , , , , , ,Cretaceous,4036,236.000000000000000,[PMsrmg,"Snowcrest Range Group and Madison Group, undivided",Pennsylvanian-Mississippian,carbonate and siliciclastic sedimentary rocks, , , , , , , , ,"W, Mo", , , , ,"W, Cu", ,"Powellite, Scheelite", , ,None, , , , 
