intersection_area,source_id_1,source_id_2,record_id_1,record_id_2,union_area,IOU,GroupID_1,GroupID_2
207378.9834796025,https://mrdata.usgs.gov/mrds,https://mrdata.usgs.gov/deposit,"10149190,10045435",NV00138,207378.9834796025,1.0,https://mrdata.usgs.gov/deposit61,https://mrdata.usgs.gov/mrds995
212411.34110792278,https://mrdata.usgs.gov/mrds,https://mrdata.usgs.gov/deposit,10160275,AK00035,212411.34110792278,1.0,https://mrdata.usgs.gov/deposit110,https://mrdata.usgs.gov/mrds4803
214321.34451941753,https://doi.org/10.4095/295581,https://mrdata.usgs.gov/mrds,973,"10232891,10308843,10002830",214321.34451941753,1.0,https://doi.org/10.4095/295581109,https://mrdata.usgs.gov/mrds2750
223514.7553165536,https://mrdata.usgs.gov/deposit,https://mrdata.usgs.gov/mrds,NM00036,10038909,223514.7553165536,1.0,https://mrdata.usgs.gov/deposit113,https://mrdata.usgs.gov/mrds6065
230763.81287185417,https://mrdata.usgs.gov/deposit,https://mrdata.usgs.gov/mrds,CO00045,10108264,230763.81287185417,1.0,https://mrdata.usgs.gov/deposit41,https://mrdata.usgs.gov/mrds2052
238498.35912495284,https://mrdata.usgs.gov/mrds,https://mrdata.usgs.gov/deposit,10216482,CO00001,238498.35912495284,1.0,https://mrdata.usgs.gov/deposit14,https://mrdata.usgs.gov/mrds5891
239545.9685419804,https://mrdata.usgs.gov/mrds,https://mrdata.usgs.gov/deposit,10107653,NV00119,239545.9685419804,1.0,https://mrdata.usgs.gov/deposit114,https://mrdata.usgs.gov/mrds1475
250065.98346541432,https://mrdata.usgs.gov/deposit,https://mrdata.usgs.gov/mrds,NV00110,10135159,250065.98346541432,1.0,https://mrdata.usgs.gov/deposit107,https://mrdata.usgs.gov/mrds5880
257728.31297224923,https://mrdata.usgs.gov/deposit,https://mrdata.usgs.gov/mrds,CA00059,"10035192,10238589",257728.31297224923,1.0,https://mrdata.usgs.gov/deposit121,https://mrdata.usgs.gov/mrds4926
262478.58048913244,https://mrdata.usgs.gov/mrds,https://mrdata.usgs.gov/deposit,10178355,"TX00010,TX00002",262478.58048913244,1.0,https://mrdata.usgs.gov/deposit9,https://mrdata.usgs.gov/mrds1765
264521.89273132186,https://mrdata.usgs.gov/deposit,https://mrdata.usgs.gov/mrds,CA00056,10031547,264521.89273132186,1.0,https://mrdata.usgs.gov/deposit82,https://mrdata.usgs.gov/mrds6002
274301.0905038092,https://mrdata.usgs.gov/deposit,https://mrdata.usgs.gov/mrds,CO00040,10287634,274301.0905038092,1.0,https://mrdata.usgs.gov/deposit72,https://mrdata.usgs.gov/mrds2465
315083.3455371363,https://doi.org/10.4095/295581,https://mrdata.usgs.gov/deposit,973,AK00035,315083.3455371363,1.0,https://doi.org/10.4095/295581109,https://mrdata.usgs.gov/deposit110
329124.5390636803,https://mrdata.usgs.gov/mrds,https://mrdata.usgs.gov/deposit,10310489,NV00124,329124.5390636803,1.0,https://mrdata.usgs.gov/deposit103,https://mrdata.usgs.gov/mrds4386
338166.64991306653,https://mrdata.usgs.gov/mrds,https://mrdata.usgs.gov/deposit,10035154,CA00042,338166.64991306653,1.0,https://mrdata.usgs.gov/deposit0,https://mrdata.usgs.gov/mrds4461
359105.8268219816,https://mrdata.usgs.gov/mrds,https://mrdata.usgs.gov/deposit,10091282,CO00038,359105.8268219816,1.0,https://mrdata.usgs.gov/deposit76,https://mrdata.usgs.gov/mrds2703
360686.4772476177,https://doi.org/10.4095/295581,https://w3id.org/usgs/z/4530692/8UB8ZHKF,235,1,360686.4772476177,1.0,https://doi.org/10.4095/29558112,https://w3id.org/usgs/z/4530692/8UB8ZHKF0
363138.98815077555,https://doi.org/10.4095/295581,https://mrdata.usgs.gov/mrds,966,10037038,363138.98815077555,1.0,https://doi.org/10.4095/29558133,https://mrdata.usgs.gov/mrds3480
370444.40734012745,https://mrdata.usgs.gov/mrds,https://mrdata.usgs.gov/deposit,10198657,NV00141,370444.40734012745,1.0,https://mrdata.usgs.gov/deposit54,https://mrdata.usgs.gov/mrds2824
372209.2148445316,https://mrdata.usgs.gov/mrds,https://doi.org/10.4095/295581,60000423,157,372209.2148445316,1.0,https://doi.org/10.4095/295581186,https://mrdata.usgs.gov/mrds2199
402561.2349083565,https://mrdata.usgs.gov/deposit,https://mrdata.usgs.gov/mrds,NV00131,10055089,402561.2349083565,1.0,https://mrdata.usgs.gov/deposit35,https://mrdata.usgs.gov/mrds536
408784.5378162492,https://mrdata.usgs.gov/mrds,https://mrdata.usgs.gov/deposit,10009984,NM00038,408784.5378162492,1.0,https://mrdata.usgs.gov/deposit109,https://mrdata.usgs.gov/mrds2842
437591.3998290639,https://mrdata.usgs.gov/deposit,https://mrdata.usgs.gov/mrds,NV00120,10107653,437591.3998290639,1.0,https://mrdata.usgs.gov/deposit13,https://mrdata.usgs.gov/mrds1475
450480.9543694934,https://mrdata.usgs.gov/mrds,https://mrdata.usgs.gov/deposit,"10269417,10019526",MT00028,450480.9543694934,1.0,https://mrdata.usgs.gov/deposit94,https://mrdata.usgs.gov/mrds2680
454596.8109363838,https://mrdata.usgs.gov/deposit,https://mrdata.usgs.gov/mrds,NM00038,10094265,454596.8109363838,1.0,https://mrdata.usgs.gov/deposit109,https://mrdata.usgs.gov/mrds4879
467535.65962240996,https://mrdata.usgs.gov/mrds,https://mrdata.usgs.gov/deposit,10091323,CO00047,467535.65962240996,1.0,https://mrdata.usgs.gov/deposit22,https://mrdata.usgs.gov/mrds2268
469187.20404672844,https://doi.org/10.4095/295581,https://mrdata.usgs.gov/mrds,125,"10107374,10207117",469187.20404672844,1.0,https://doi.org/10.4095/295581136,https://mrdata.usgs.gov/mrds5242
476555.35264910734,https://mrdata.usgs.gov/deposit,https://mrdata.usgs.gov/mrds,WA00007,10097222,476555.35264910734,1.0,https://mrdata.usgs.gov/deposit34,https://mrdata.usgs.gov/mrds6110
484594.06200132874,https://mrdata.usgs.gov/deposit,https://mrdata.usgs.gov/mrds,NV00139,10047528,484594.06200132874,1.0,https://mrdata.usgs.gov/deposit19,https://mrdata.usgs.gov/mrds3645
500027.97949149134,https://mrdata.usgs.gov/mrds,https://mrdata.usgs.gov/deposit,10002636,AK00197,500027.97949149134,1.0,https://mrdata.usgs.gov/deposit37,https://mrdata.usgs.gov/mrds4178
501561.57611368847,https://doi.org/10.4095/295581,https://mrdata.usgs.gov/mrds,510,"10092699,10255607",501561.57611368847,1.0,https://doi.org/10.4095/295581159,https://mrdata.usgs.gov/mrds1460
511951.40994061576,https://mrdata.usgs.gov/mrds,https://mrdata.usgs.gov/deposit,10165945,CO00045,511951.40994061576,1.0,https://mrdata.usgs.gov/deposit41,https://mrdata.usgs.gov/mrds3191
516893.58264622977,https://mrdata.usgs.gov/deposit,https://mrdata.usgs.gov/mrds,NV00119,10270988,516893.58264622977,1.0,https://mrdata.usgs.gov/deposit114,https://mrdata.usgs.gov/mrds3943
520238.6171861452,https://mrdata.usgs.gov/mrds,https://doi.org/10.4095/295581,"10021609,10231313",937,520238.6171861452,1.0,https://doi.org/10.4095/29558154,https://mrdata.usgs.gov/mrds29
535364.262200005,https://mrdata.usgs.gov/deposit,https://mrdata.usgs.gov/mrds,NM00025,60000046,535364.262200005,1.0,https://mrdata.usgs.gov/deposit80,https://mrdata.usgs.gov/mrds4635
