ms_uri,source_id,record_id,site_name,country,state_or_province,crs,commodity,deposit_type,longitude,latitude,GroupID
https://minmod.isi.edu/resource/mineral_sitea677fe2683e7885d9979443f27b40da76497b3bf4d73375aadae9e7fea14a702,USMIN,AK00206,Chichagof District,United States,Alaska,EPSG:4326,"copper,nickel,cobalt","",-135.199,57.614,USMIN19
https://minmod.isi.edu/resource/mineral_sitef637acc17a97deaee326c0d81c02eb52a2e16a5178aa3cda028ee272777410b1,USMIN,OR00005,Nickel Mountain,United States,Oregon,EPSG:4326,"cobalt,nickel",38a - Lateritic Ni,-123.437,42.963,USMIN20
https://minmod.isi.edu/resource/mineral_site7d5d46d503adf0968f787c57ff972d0d819b73aac464ca9a6d334d0f3d54ed08,USMIN,OR00002,Eight Dollar Mountain,United States,Oregon,EPSG:4326,"cobalt,chromium,nickel",38a - Lateritic Ni,-123.663,42.258,USMIN20
https://minmod.isi.edu/resource/mineral_sitedf16e88c6f06b899ec5de92781c1110859705e07d12a76fcd72e06918c8c30af,USMIN,AK00207,Brady Glacier,United States,Alaska,EPSG:4326,"cobalt,copper,nickel",Massive Ni-Cu sulfide,-136.932,58.552,USMIN21
https://minmod.isi.edu/resource/mineral_site6108d7cc00c6af0904818ff3f6a174dc116fe60be63517e0eaaa210495620e46,USMIN,OR00001,Turner,United States,Oregon,EPSG:4326,"cobalt,zinc,silver,copper,gold","Volcanogenic massive sulfide,Cyprus model",-123.758,41.999,USMIN22
https://minmod.isi.edu/resource/mineral_sitea8aff1ecfd5cba394393133868f41e538df5c136e0b1824d57f49a7c50372412,USMIN,NC00001,Webster District,United States,North Carolina,EPSG:4326,"nickel,cobalt",38a - Lateritic Ni,-83.213,35.342,USMIN23
https://minmod.isi.edu/resource/mineral_siteb4f150f2a1a3fd864498f26282241d3634dee846deaf7d832305486cdc91ed27,USMIN,ID00051,Iron Creek,United States,Idaho,EPSG:4326,"cobalt,iron,copper","Syn-sedimentary Cu-Co-Au,Shear zone hosted Cu-Co-Au,Iron oxide-copper-gold",-114.118,44.96,USMIN24
https://minmod.isi.edu/resource/mineral_site40165b8f935f6e2e0d5f387349bbf21d4e8a3a1e69253ecd077ca0b4a2456fbf,USMIN,MN00002,NorthMet,United States,Minnesota,EPSG:4326,"cobalt,nickel,copper,platinum,gold,silver,palladium",Contact-type magmatic Ni-Cu-PGE,-91.97,47.62,USMIN25
https://minmod.isi.edu/resource/mineral_site54712b8c157712bb7e98434746201ce379c768a3607eaa4f5ae5fbdb96455bdd,USMIN,CA00070,Pine Flat,United States,California,EPSG:4326,"cobalt,nickel",38a - Lateritic Ni,-123.994,41.991,USMIN26
https://minmod.isi.edu/resource/mineral_site86fcbe54c163b85d9924afbe9b708543e64b6a733300ed5207cf6c0408053055,USMIN,MN00008,Tamarack,United States,Minnesota,EPSG:4326,"cobalt,platinum,palladium,gold,copper,nickel",Conduit-type Ni-Cu-PGE,-93.116,46.685,USMIN27
https://minmod.isi.edu/resource/mineral_site8d024c55819cd4e478524d242e4554550de38e08800de2c75697893cf43b265f,USMIN,ID00052,Salmon Canyon,United States,Idaho,EPSG:4326,"silver,gold,cobalt,copper",24d - Blackbird Co-Cu,-114.558,45.3,USMIN28
https://minmod.isi.edu/resource/mineral_site23beb057504f015ab4b9a56000f9c538f4243bb3bcf85dec10eb011a6838fa66,USMIN,MO00014,Boss-Bixby,United States,Missouri,EPSG:4326,"cobalt,copper,iron",Iron oxide-copper-gold,-91.17,37.666,USMIN29
https://minmod.isi.edu/resource/mineral_site6202f7757c63023426807bde65ea68c4f71ab91f7e7f52d3c33e3f683e3260b9,USMIN,PR00003,Las Mesas,United States,Puerto Rico,EPSG:4326,"cobalt,chromium,nickel,iron",Nickel-Cobalt Laterites,-67.109461,18.18632,USMIN30
https://minmod.isi.edu/resource/mineral_sitebc16e926caebc27fc89c3510818890b5fb1e2700b2ccdc97cb3078a50b4c10aa,USMIN,ME00003,Warren,United States,Maine,EPSG:4326,"cobalt,nickel",7a - Synorogenic-synvolcanic Ni-Cu,-69.256,44.175,USMIN31
