ms_uri,source_id,record_id,country,state_or_province,location,crs,other_names,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013763,https://mrdata.usgs.gov/mrds,10013763,United States,Colorado,POINT (-105.44003 39.70749),EPSG:4326,"",Grover Mine,"Yttrium,Gadolinium,Praseodymium,Terbium,Mica,Ytterbium,Lutetium,Dysprosium,Cerium,Neoymium,Europium,Lanthanum,Thulium,Samarium,Beryllium,Feldspar,Holmium,Erbium","Abyssal pegmatite REE,LCT pegmatite,NYF pegmatite,Simple pegmatite"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013765,https://mrdata.usgs.gov/mrds,10013765,United States,Colorado,POINT (-106.08671 38.8875),EPSG:4326,Yard Pegmatite,Yard Mine,"Samarium,Thulium,Holmium,Lanthanum,Dysprosium,Cerium,Terbium,Bismuth,Lutetium,Erbium,Praseodymium,Ytterbium,Europium,Neoymium,Copper,Feldspar,Yttrium,Gadolinium","Abyssal pegmatite REE,Apatite intrusion REE,Peralkaline igneous HFSE- REE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013770,https://mrdata.usgs.gov/mrds,10013770,United States,Colorado,POINT (-105.99365 38.60806),EPSG:4326,"",Shirley Group,"Dysprosium,Erbium,Lutetium,Lanthanum,Tantalum,Holmium,Yttrium,Gadolinium,Feldspar,Neoymium,Europium,Beryllium,Mica,Ytterbium,Thulium,Praseodymium,Cerium,Samarium,Terbium","Abyssal pegmatite REE,NYF pegmatite,Simple pegmatite"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013792,https://mrdata.usgs.gov/mrds,10013792,United States,Colorado,POINT (-105.42891 39.07583),EPSG:4326,"Little Bear Mine,2 Mine,Little Bear No",Mary Lee Mine,"Lead,Zinc,Tin,Holmium,Praseodymium,Iron,Lanthanum,Copper,Uranium,Gadolinium,Cerium,Samarium,Lutetium,Arsenic,Beryllium,Europium,Yttrium,Erbium,Tungsten,Dysprosium,Terbium,Ytterbium,Thulium,Neoymium,Molybdenum",Greisen beryllium±Li
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013799,https://mrdata.usgs.gov/mrds,10013799,United States,Colorado,POINT (-105.05529 39.28833),EPSG:4326,Magnuson Quarry,Cramer Quarry,"Dysprosium,Neoymium,Holmium,Praseodymium,Terbium,Lanthanum,Erbium,Feldspar,Lutetium,Cerium,Europium,Gadolinium,Thulium,Samarium,Yttrium,Ytterbium,Uranium,Thorium","Abyssal pegmatite REE,NYF pegmatite,Peralkaline igneous HFSE- REE,Simple pegmatite"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013801,https://mrdata.usgs.gov/mrds,10013801,United States,Colorado,POINT (-105.04085 39.15972),EPSG:4326,"",Lost Dutchman Quarry,"Yttrium,Cerium,Lutetium,Gadolinium,Europium,Lanthanum,Praseodymium,Neoymium,Terbium,Ytterbium,Holmium,Thulium,Samarium,Thorium,Dysprosium,Feldspar,Erbium","Abyssal pegmatite REE,NYF pegmatite,Peralkaline igneous HFSE- REE,Simple pegmatite"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013802,https://mrdata.usgs.gov/mrds,10013802,United States,Colorado,POINT (-105.10279 39.27861),EPSG:4326,"Princeton Extension Lode,Claims,Princeton Lode,MS 20838",Princeton Group,"Thorium,Neoymium,Ytterbium,Lutetium,Thulium,Cerium,Samarium,Europium,Holmium,Feldspar,Gadolinium,Yttrium,Terbium,Praseodymium,Dysprosium,Lanthanum,Erbium","Abyssal pegmatite REE,NYF pegmatite,Peralkaline igneous HFSE- REE,Simple pegmatite"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013803,https://mrdata.usgs.gov/mrds,10013803,United States,Colorado,POINT (-105.06724 39.21778),EPSG:4326,"",Skeleton No. 2 Quarry,"Feldspar,Thulium,Dysprosium,Europium,Erbium,Ytterbium,Quartz,Holmium,Yttrium,Cerium,Praseodymium,Neoymium,Terbium,Lanthanum,Gadolinium,Samarium,Lutetium","Abyssal pegmatite REE,Simple pegmatite"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013804,https://mrdata.usgs.gov/mrds,10013804,United States,Colorado,POINT (-105.14696 39.27833),EPSG:4326,"",Three Musketeers Feldspar Lode,"Terbium,Feldspar,Yttrium,Thulium,Dysprosium,Europium,Ytterbium,Lanthanum,Neoymium,Erbium,Holmium,Praseodymium,Lutetium,Samarium,Cerium,Gadolinium","Abyssal pegmatite REE,NYF pegmatite,Simple pegmatite"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013812,https://mrdata.usgs.gov/mrds,10013812,United States,Colorado,POINT (-105.40309 40.52692),EPSG:4326,"",Crystal Snow Mine,"Beryllium,Lutetium,Neoymium,Yttrium,Lanthanum,Thulium,Cerium,Praseodymium,Ytterbium,Dysprosium,Europium,Terbium,Gadolinium,Samarium,Holmium,Erbium","Abyssal pegmatite REE,Greisen beryllium±Li,NYF pegmatite,Simple pegmatite"
