ms_uri,source_id,record_id,country,state_or_province,location,crs,other_names,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10206635,https://mrdata.usgs.gov/mrds,10206635,China,"",POINT (110.83282 23.49934),EPSG:4326,"",Xun-Jiang Titanium Mine,"Cerium,Praseodymium,Titanium,Zirconium,Dysprosium,Gadolinium,Thulium,Lanthanum,Samarium,Ytterbium,Holmium,Neoymium,Erbium,Yttrium,Terbium,Europium,Lutetium","Heavy mineral sands,Paleoplacer heavy mineral sands"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10206658,https://mrdata.usgs.gov/mrds,10206658,Russia,"",POINT (113.21591 50.89786),EPSG:4326,"",Aginsky Group,"Tungsten,Thulium,Cerium,Yttrium,Praseodymium,Europium,Lutetium,Dysprosium,Samarium,Neoymium,Gadolinium,Terbium,Erbium,Tantalum,Ytterbium,Lanthanum,Holmium","Fluvial placer tungsten,Greisen tungsten- molybdenum±Bi,Peralkaline igneous HFSE- REE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10206694,https://mrdata.usgs.gov/mrds,10206694,India,Kerala,POINT (76.50041 9.0007),EPSG:4326,"",Chavara Kmml,"Lanthanum,Zirconium,Praseodymium,Titanium,Terbium,Gadolinium,Ytterbium,Thulium,Europium,Holmium,Lutetium,Dysprosium,Neoymium,Cerium,Samarium,Erbium,Yttrium","Heavy mineral sands,Paleoplacer heavy mineral sands"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207031,https://mrdata.usgs.gov/mrds,10207031,China,"",POINT (101.87144 28.39223),EPSG:4326,"",Muluo Rare Earth Deposit,"Lutetium,Yttrium,Samarium,Europium,Holmium,Cerium,Dysprosium,Neoymium,Gadolinium,Terbium,Ytterbium,Thulium,Erbium,Lanthanum,Praseodymium",Ion adsorption REE
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207087,https://mrdata.usgs.gov/mrds,10207087,Brazil,Minas Gerais,POINT (-46.83231 -19.86421),EPSG:4326,"Tarira Valep,Fazenda Cachoeira,Salitre,Valep,Piloes","Tapira,Tarira Valep","Neoymium,Erbium,Uranium,Cerium,Gadolinium,Dysprosium,Samarium,Thulium,Holmium,Phosphorus-Phosphates,Lanthanum,Praseodymium,Ytterbium,Terbium,Thorium,Titanium,Lutetium,Yttrium,Europium,Vermiculite","Apatite- nepheline- titanite intrusion,Carbonatite niobium"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207161,https://mrdata.usgs.gov/mrds,10207161,Brazil,Minas Gerais,POINT (-46.99899 -21.99744),EPSG:4326,"",Paraguacu,"Terbium,Gadolinium,Lutetium,Holmium,Praseodymium,Yttrium,Samarium,Ytterbium,Dysprosium,Erbium,Cerium,Europium,Neoymium,Lanthanum,Thulium","Abyssal pegmatite REE,Apatite intrusion REE,Carbonatite REE,Carbonatite laterite REE,Ion adsorption REE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207198,https://mrdata.usgs.gov/mrds,10207198,Russia,"",POINT (114.51586 51.09786),EPSG:4326,"",Aginsky Processing Plant,"Gadolinium,Tungsten,Terbium,Ytterbium,Erbium,Dysprosium,Yttrium,Holmium,Neoymium,Lutetium,Cerium,Tantalum,Thulium,Lanthanum,Praseodymium,Samarium,Europium","Fluvial placer tungsten,Greisen tungsten- molybdenum±Bi,Peralkaline igneous HFSE- REE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207324,https://mrdata.usgs.gov/mrds,10207324,Kyrgyzstan,"",POINT (76.13386 42.84809),EPSG:4326,"",Kutessay,"Europium,Lead,Dysprosium,Neoymium,Ytterbium,Gadolinium,Cerium,Holmium,Lanthanum,Zinc,Thulium,Terbium,Samarium,Yttrium,Erbium,Lutetium,Praseodymium","Irish-type sediment- hosted zinc- lead,Non-sulfide zinc-lead ± Mn,Replacement zinc-lead"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207376,https://mrdata.usgs.gov/mrds,10207376,Madagascar,"",POINT (47.00115 -25.01319),EPSG:4326,"Taolanaro,Fort Dauphin,Tolagnao","Toalagnaro,Fort Dauphin","Dysprosium,Erbium,Praseodymium,Ytterbium,Zirconium,Terbium,Cerium,Titanium,Holmium,Lutetium,Europium,Thulium,Yttrium,Neoymium,Samarium,Gadolinium,Lanthanum","Anorthosite massif titanium,Heavy mineral sands,U-M layered intrusion iron-titanium- vanadium"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207380,https://mrdata.usgs.gov/mrds,10207380,Australia,Western Australia,POINT (115.16607 -30.32939),EPSG:4326,"Spencer Lee Property,Melbourne,Jurien Bay,Cooljarloo,Location 3750","Melbourne,Cooljarloo/Jurien Bay","Lanthanum,Neoymium,Europium,Titanium,Lutetium,Holmium,Yttrium,Praseodymium,Dysprosium,Terbium,Ytterbium,Thulium,Samarium,Erbium,Gadolinium,Cerium,Zirconium","Heavy mineral sands,Paleoplacer heavy mineral sands"
