country,ms_uri,source_id,record_id,state_or_province,crs,other_names,site_name,commodity,deposit_type,link_method,GroupID,loc_GroupID,GroupID_location
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10272538,https://mrdata.usgs.gov/mrds,10272538,New Mexico,EPSG:4326,"",Globe,"Lithium,Mica","LCT pegmatite,Simple pegmatite,NYF pegmatite,Abyssal pegmatite REE",GEO,ALL378,ALL378,GROUP20
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10151188,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024735",https://mrdata.usgs.gov/mrds,"10151188,10024735",North Carolina,EPSG:4326,"Hallman-Beam Property,Gastonia,Hallman Mine,Hallman-Beam Mine,Bessemer Operations,Lithium Mine","Bessemer City,Bessemer City Operations","Beryllium,Lithium,Feldspar,Mica,Silica,Mica,Lithium,Feldspar",LCT pegmatite,GEO,ALL379,ALL379,GROUP20
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10194726,https://mrdata.usgs.gov/mrds,10194726,Maine,EPSG:4326,"",nsoli Quarry,"Mica,Beryllium,Uranium,Feldspar,Gemstone,Lithium","LCT pegmatite,Greisen beryllium±Li,Simple pegmatite,NYF pegmatite",GEO,ALL381,ALL381,GROUP20
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10068410,https://mrdata.usgs.gov/mrds,10068410,Oregon,EPSG:4326,"",Salem Hills Bauxite,"Metal,Titanium,Aluminum,Iron,Lithium,Titanium, Metal",Bauxite,GEO,ALL382,ALL382,GROUP20
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10223716,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10127223,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10273020,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10151336,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10296594",https://mrdata.usgs.gov/mrds,"10127223,10223716,10273020,10151336,10296594",North Carolina,EPSG:4326,"Blue Ridge Tin Corporation Prospe,Cts,E of Park Yarn Mill,Old Ledoux Prospects,Ct,Old Ledoux Prospects,No. 1 Shaft Blue Ridge Tin Corpor,A. R. Ledoux Prospect,Ledoux Property,Ation,E of Park Yarn Mill,Blue Ridge Tin Corporation Prospe,Cts,Blue Ridge Tin Corporation Prospe,Old Ledoux Prospects,E of Compact School,Cts,Old Ledoux Prospects,Of Compact School,Blue Ridge Tin Corporation Prospe,Cts,Outh of Park Yarn Mill,Blue Ridge Tin Corporation Prospe,Old Ledoux Prospects","000 Feet S 55,025 Feet S 3 E,000 Feet S 64,825 Feet S 10,300 Feet Due S","Lithium,Tin,Tin,Lithium","Simple pegmatite,LCT pegmatite,Greisen tin ±W-Mo,Greisen beryllium±Li,Greisen tin ±W-Mo,LCT pegmatite,Simple pegmatite,LCT pegmatite,Greisen tin ±W-Mo,Greisen beryllium±Li,LCT pegmatite,Greisen tin ±W-Mo,Greisen beryllium±Li,Simple pegmatite,Greisen beryllium±Li,LCT pegmatite",GEO,ALL384,ALL384,GROUP20
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10281471,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10084558,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10084565,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10121240,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10110222,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067345,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067347,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10267814",https://mrdata.usgs.gov/mrds,"10084558,10084565,10121240,10110222,10281471,10067345,10267814,10067347",Massachusetts,EPSG:4326,"","Clark Ledge Lithia ,W,Taylor Ledge Lithia ,West Chesterfield Lithia",Lithium,"Lacustrine clay lithium,LCT pegmatite,Simple pegmatite,Lacustrine clay lithium,Lacustrine brine lithium,Lacustrine brine lithium,Lacustrine clay lithium,LCT pegmatite,Simple pegmatite,LCT pegmatite,Lacustrine brine lithium,Lacustrine clay lithium,Simple pegmatite,LCT pegmatite",GEO,ALL385,ALL385,GROUP20
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10258898,https://mrdata.usgs.gov/mrds,10258898,Arizona,EPSG:4326,"",North Morning Star,"Lithium,Mica,Gemstone, Semiprecious","Simple pegmatite,Lacustrine clay lithium,LCT pegmatite",GEO,ALL386,ALL386,GROUP20
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10194600,https://mrdata.usgs.gov/mrds,10194600,Massachusetts,EPSG:4326,Sterling,Leominster,"Lithium,Tin","Simple pegmatite,LCT pegmatite,NYF pegmatite",GEO,ALL387,ALL387,GROUP20
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10164448,https://mrdata.usgs.gov/mrds,10164448,California,EPSG:4326,"",Preston Hanford Sand and Gravel,Lithium,"Lacustrine brine lithium,Lacustrine clay lithium",GEO,ALL388,ALL388,GROUP20
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10027533,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10137649",https://mrdata.usgs.gov/mrds,"10137649,10027533",Arizona,EPSG:4326,"","Sunrise ,Sunrise","Lithium,Mica,Tantalum,Feldspar,Tantalum,Phosphorus-Phosphates,Manganese,Lithium,Mica","Simple pegmatite,LCT pegmatite,NYF pegmatite,LCT pegmatite,Simple pegmatite,NYF pegmatite",GEO,ALL389,ALL389,GROUP20
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10046984,https://mrdata.usgs.gov/mrds,10046984,Nevada,EPSG:4326,"American Borax Co. Mines,Muddy Mountains Borates",White Basin,"Boron-Borates,Lithium",Lacustrine evaporite borate,GEO,ALL391,ALL391,GROUP20
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10210921,https://mrdata.usgs.gov/mrds,10210921,Arizona,EPSG:4326,"",Ambly,"Beryllium,Tungsten,Lithium","Greisen beryllium±Li,LCT pegmatite",GEO,ALL392,ALL392,GROUP20
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009196,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10286994",https://mrdata.usgs.gov/mrds,"10286994,10009196",California,EPSG:4326,"Americal Lithia Company Mine,Stewart Mineamerican Lithia Co,Alvardo Mine,Douglass Mine,","Stewart,Stewart american Lithia","Bismuth,Lithium,Lithium,Gemstone","LCT pegmatite,Simple pegmatite,Simple pegmatite,LCT pegmatite",GEO,ALL394,ALL394,GROUP20
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10146696,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067343,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10084552",https://mrdata.usgs.gov/mrds,"10067343,10146696,10084552",Massachusetts,EPSG:4326,"",Norwich Lithia,Lithium,"Lacustrine brine lithium,Lacustrine clay lithium,Simple pegmatite,LCT pegmatite,Lacustrine clay lithium,Lacustrine brine lithium",GEO,ALL397,ALL397,GROUP20
