GroupID,country,state_or_province,location,site_name,distance
GROUP506,Mexico,Baja California,POINT (-115.90722 32.18339),El Socorro - El Topo,3.6704032223199943
GROUP506,Mexico,Baja California,POINT (-115.90721 32.18342),El Socorro - El Topo,3.6713170163871687
GROUP6270,United States,Nevada,POINT (-117.71095 39.68131),Tungsten Mountain Mine,3.674457411393423
GROUP724,United States,"",POINT(-117.88167 38.39500),Pilot Mountain,3.6781749966043855
GROUP477,Mexico,Chihuahua,POINT (-105.50051 27.86697),"Naica Mine,Naica",3.6869780812727404
GROUP477,Mexico,"",POINT(-105.56667 27.85000),Naica,3.687014047883005
GROUP329,Bolivia,"",POINT (-66.98281 -17.19767),Pajchiri Mine,3.7066828796954527
GROUP329,Bolivia,"",POINT (-67.04948 -17.19767),Pajchiri,3.706682879698282
GROUP2488,United States,Idaho,POINT (-113.6381 44.55299),Prospect,3.750506037838228
GROUP2443,United States,Alaska,POINT (-165.51158 64.64368),Sledge Lode,3.7594426708196647
GROUP193,Bolivia,"",POINT (-67.6995 -16.73769),Cerro Negro,3.8032915382339625
GROUP193,Bolivia,"",POINT (-67.6328 -16.69769),Cerro Negro Mining District,3.8035575800378987
GROUP6204,United States,Nevada,POINT (-117.84064 38.39023),Gunmetal Mine,3.821996749699839
GROUP2009,United States,Alaska,POINT (-148.50304 65.54967),Livengood Creek,3.8221065201872757
GROUP106,United Kingdom,"",POINT(-4.03333 50.40000),Hemerdon,3.844169097095179
GROUP204,Bolivia,"",POINT (-66.18695 -20.6309),Tasna District,3.9407157790798877
GROUP4511,United States,Alaska,POINT (-165.36998 64.60758),Glacier Creek,3.9416128355851803
GROUP4511,United States,Alaska,POINT (-165.43661 64.63261),Glacier Creek,3.941682505700741
GROUP1585,United States,Alaska,POINT (-130.16843 56.06644),Engineer,3.949471351997214
GROUP1923,United States,California,POINT (-116.93867 35.1953),Unnamed Prospect,3.9610113030857783
GROUP1420,United States,Maine,POINT (-70.15361 44.67965),Farmington Prospect,4.014663758343112
GROUP1420,United States,Maine,POINT (-70.08471 44.61605),Farmington Falls Prospect,4.015262562435133
GROUP2443,United States,Alaska,POINT (-165.52828 64.63678),Sledge Creek,4.03506931254585
GROUP1830,United States,California,POINT (-116.63446 34.28223),Blue Vase,4.037217588006707
GROUP1830,United States,California,POINT (-116.70086 34.2167),Blue Vase,4.03798160808912
GROUP4095,United States,California,POINT (-119.17765 36.95525),Ridge Prospect,4.078393326052193
GROUP4095,United States,California,POINT (-119.25096 36.94994),Ridge Prospect,4.078399150091771
ALL10,Bolivia,"",POINT(-66.86667 -17.46667),Kami,4.0788227558325545
GROUP2740,United States,Alaska,POINT (-161.33333 65.5094),Quartz Creek,4.081790303561854
GROUP2740,United States,Alaska,POINT (-161.40334 65.53273),Quartz Creek,4.0818665397803136
GROUP4849,United States,Montana,POINT (-111.96756 45.5721),"Stasnos Mine,Mercury",4.09248037379662
