ms_uri,source_id,record_id,country,state_or_province,location,crs,other_names,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10065154,https://mrdata.usgs.gov/mrds,10065154,United States,Texas,POINT (-98.47394 30.66882),EPSG:4326,"",Williams Mine,"Lanthanum,Neodymium,Terbium,Cerium,Holmium,Thulium,Dysprosium,Yttrium,Lutetium,Praseodymium,Samarium,Ytterbium,Europium,Feldspar,Erbium,Gadolinium",Simple pegmatite
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10065155,https://mrdata.usgs.gov/mrds,10065155,United States,Texas,POINT (-98.47311 30.66938),EPSG:4326,"",Williams Mine,"Holmium,Lanthanum,Erbium,Europium,Lutetium,Terbium,Thulium,Praseodymium,Neodymium,Ytterbium,Fluorine-Fluorite,Samarium,Gadolinium,Yttrium,Cerium,Dysprosium",Abyssal pegmatite REE
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10065225,https://mrdata.usgs.gov/mrds,10065225,Brazil,Rio de Janeiro,POINT (-44.76228 -22.52909),EPSG:4326,"",Se Petiba,"Erbium,Yttrium,Praseodymium,Ytterbium,Thulium,Terbium,Dysprosium,Holmium,Gadolinium,Cerium,Lutetium,Lanthanum,Neodymium,Samarium,Europium",Fluvial placer REE
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10065226,https://mrdata.usgs.gov/mrds,10065226,Brazil,Rio de Janeiro,POINT (-42.0628 -21.29411),EPSG:4326,"",Barra Sao Joao,"Yttrium,Lutetium,Ytterbium,Dysprosium,Europium,Holmium,Terbium,Erbium,Gadolinium,Thulium,Praseodymium,Neodymium,Samarium,Lanthanum,Cerium",Fluvial placer REE
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10065227,https://mrdata.usgs.gov/mrds,10065227,Brazil,"",POINT (-41.4439 -20.62328),EPSG:4326,"",Guarapari,"Europium,Erbium,Gadolinium,Dysprosium,Lanthanum,Cerium,Neodymium,Lutetium,Yttrium,Terbium,Ytterbium,Samarium,Thulium,Praseodymium,Holmium",Fluvial placer REE
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10065228,https://mrdata.usgs.gov/mrds,10065228,Brazil,"",POINT (-40.88973 -19.63887),EPSG:4326,"",Sao Mateus,"Lanthanum,Erbium,Gadolinium,Europium,Praseodymium,Yttrium,Thulium,Terbium,Holmium,Dysprosium,Lutetium,Cerium,Neodymium,Ytterbium,Samarium",Fluvial placer REE
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10065229,https://mrdata.usgs.gov/mrds,10065229,Brazil,Bahia,POINT (-40.38028 -18.77945),EPSG:4326,"",Prado,"Holmium,Samarium,Europium,Ytterbium,Terbium,Lutetium,Praseodymium,Lanthanum,Cerium,Neodymium,Dysprosium,Thulium,Yttrium,Gadolinium,Erbium",Fluvial placer REE
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10065477,https://mrdata.usgs.gov/mrds,10065477,Brazil,Amazonas,POINT (-66.41171 0.63795),EPSG:4326,"",Morro Dos Seis Lagos,"Cerium,Yttrium,Erbium,Europium,Thulium,Ytterbium,Lutetium,Holmium,Praseodymium,Terbium,Lanthanum,Neodymium,Gadolinium,Dysprosium,Samarium","Carbonatite laterite REE,Carbonatite niobium"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10065531,https://mrdata.usgs.gov/mrds,10065531,Brazil,"",POINT (-46.68788 -21.90578),EPSG:4326,Morro Alto E Consulta,Morro Do Ferro,"Lanthanum,Europium,Iron,Holmium,Cerium,Ytterbium,Thulium,Erbium,Neodymium,Thorium,Dysprosium,Lutetium,Praseodymium,Terbium,Yttrium,Samarium,Gadolinium","Carbonatite laterite REE,Ion adsorption REE,Peralkaline igneous HFSE- REE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10065704,https://mrdata.usgs.gov/mrds,10065704,Chile,"",POINT (-70.50283 -34.55248),EPSG:4326,"",Rosario De Rengo,"Europium,Erbium,Gadolinium,Ytterbium,Titanium, Metal,Holmium,Uranium,Praseodymium,Neodymium,Lanthanum,Terbium,Cerium,Copper,Titanium,Molybdenum,Yttrium,Lutetium,Metal,Thulium,Dysprosium,Samarium","Breccia pipe molybdenum,Climax-type porphyry molybdenum,Low-fluorine porphyry molybdenum,Porphyry copper- molybdenum"
