ms_uri,source_id,record_id,country,state_or_province,crs,other_names,site_name,commodity,deposit_type,longitude,latitude,location,GroupID_location,link_method,GroupID_text
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10282407,https://mrdata.usgs.gov/mrds,10282407,United States,Alaska,EPSG:4326,"",Alpine,",Iron",Vein ± replacement nickel,-154.63473,62.05636,POINT (-154.6347299999999620 62.0563600000000051),3482,GEO,https://mrdata.usgs.gov/mrds3281
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10252995,https://mrdata.usgs.gov/mrds,10252995,United States,Washington,EPSG:4326,"",Malott,",,,,pper","Porphyry copper ± gold,Porphyry copper- molybdenum",-119.67896,48.25423,POINT (-119.6789599999999893 48.2542299999999997),521,GEO,https://mrdata.usgs.gov/mrds153
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067590,https://mrdata.usgs.gov/mrds,10067590,United States,California,EPSG:4326,"Indicator,Fenner,Pacoima Canyon,Denver,Red Ledge,Chance,Ore Hill Group",Denver,"balt,pper,,,,","Orogenic silver-lead- zinc-copper- antimony,Vein copper,Vein polymetallic",-118.32757,34.3639,POINT (-118.3275700000000086 34.3638999999999939),364,GEO,https://mrdata.usgs.gov/mrds676
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085876,https://mrdata.usgs.gov/mrds,10085876,Kazakhstan,"",EPSG:4326,"",Kempirsai,",balt","Laterite nickel,Ophiolite nickel-copper-PGE,Vein ± replacement nickel",58.25129,50.59799,POINT (58.2512900000000045 50.5979899999999958),257,GEO,https://mrdata.usgs.gov/mrds329
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10136985,https://mrdata.usgs.gov/mrds,10136985,United States,Alaska,EPSG:4326,Hall Cove,Hall ve Duke Island,",Iron, elements,pper,","Arc U-M intru- sion nickel- copper-PGE,Ophiolite nickel-copper-PGE,U-M intrusion nickel-copper- PGE",-131.37234,54.93784,POINT (-131.3723400000000083 54.9378399999999942),208,GEO,https://mrdata.usgs.gov/mrds645
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039194,https://mrdata.usgs.gov/mrds,10039194,Australia,"",EPSG:4326,"",Anomaly B,"Gold,pper,,,","Anorthosite conduit nickel- copper-PGE,Komatiite nickel-copper-PGE",121.69919,-31.49608,POINT (121.6991900000000157 -31.4960800000000027),723,GEO,https://mrdata.usgs.gov/mrds2365
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10201170,https://mrdata.usgs.gov/mrds,10201170,United States,Pennsylvania,EPSG:4326,"",Wheatley,"Silver,,balt,pper,,,,,,","",-75.51712,40.10611,POINT (-75.5171200000000056 40.1061099999999939),595,GEO,https://mrdata.usgs.gov/mrds2543
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039044,https://mrdata.usgs.gov/mrds,10039044,Australia,Western Australia,EPSG:4326,"",Panton Sill Lamboo,",,",U-M layered intrusion chromium,127.81163,-17.79188,POINT (127.8116299999999939 -17.7918800000000026),53,GEO,https://mrdata.usgs.gov/mrds1889
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60001594,https://mrdata.usgs.gov/mrds,60001594,Bolivia,"",EPSG:4326,"Hucurani,Manco Kapac,Jokolluni,Marimarini,San Luis,Pacocahua,San Jose,Anaconda,El Zorro",Berenguela,",Silver,,,,pper,,balt,,",Vein tin polymetallic,-69.21894,-17.28517,POINT (-69.2189399999999893 -17.2851699999999973),204,GEO,https://mrdata.usgs.gov/mrds385
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10079627,https://mrdata.usgs.gov/mrds,10079627,Guatemala,"",EPSG:4326,"",Guatemala,"","Laterite nickel,Vein ± replacement nickel",-90.35632,15.70295,POINT (-90.3563199999999824 15.7029500000000013),107,GEO,https://mrdata.usgs.gov/mrds102
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10294531,https://mrdata.usgs.gov/mrds,10294531,United States,Montana,EPSG:4326,"",Black Butte Area,"Holmium,Praseodymium,Gadolinium,Yttrium,Dysprosium,,Erbium,Ytterbium, ,,Samarium,,Lanthanum,Europium,,Neodymium,,Cerium,Lutetium,Terbium,Thulium",Phosphorite,-111.82755,44.89801,POINT (-111.8275500000000164 44.8980099999999922),676,GEO,https://mrdata.usgs.gov/mrds2409
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024989,https://mrdata.usgs.gov/mrds,10024989,Norway,"",EPSG:4326,"",Tellnes surface,",,,,, ,pper",Anorthosite massif titanium,6.43606,58.33217,POINT (6.4360599999999994 58.3321700000000050),117,GEO,https://mrdata.usgs.gov/mrds93
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10176940,https://mrdata.usgs.gov/mrds,10176940,United States,Oregon,EPSG:4326,"Horstman Group,Eight Dollar No,1,Eight Dollar Nickel Deposit,Eight Dollar Mtn Group",Horstman,",balt,,Iron",Laterite nickel,-123.65835,42.22262,POINT (-123.6583499999999844 42.2226199999999920),745,GEO,https://mrdata.usgs.gov/mrds881
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10137251,https://mrdata.usgs.gov/mrds,10137251,United States,Alaska,EPSG:4326,"",Unnamed Occurence,"pper,,","Arc U-M intru- sion nickel- copper-PGE,Ophiolite chromium,Ophiolite nickel-copper-PGE,U-M layered intrusion chromium",-148.06504,60.34815,POINT (-148.0650400000000104 60.3481499999999969),374,GEO,https://mrdata.usgs.gov/mrds1497
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10098414,https://mrdata.usgs.gov/mrds,10098414,Australia,"",EPSG:4326,"",Redross,",,Gold,pper,","Impact U-M intrusion nickel- copper-PGE,Komatiite nickel-copper-PGE,Ophiolite nickel-copper-PGE",121.74918,-31.66274,POINT (121.7491799999999671 -31.6627399999999959),726,GEO,https://mrdata.usgs.gov/mrds170
