ms_uri,source_id,record_id,site_name,country,state_or_province,location,crs,commodity
https://minmod.isi.edu/resource/mineral_site2703455395d828e6398f569a6a4b3d87b3cc8132bfeb8df7628a24bf0c13348f,MRDS,10112346,Marsh Fork,United States,Alaska,POINT (-146.03873 69.02153),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site9afd79fff4c36536fe3032a3d68b3ed4539a8adc36a3eeca1968b28660bd7e13,MRDS,10079676,M'Sesa,Congo (Kinshasa),Katanga,POINT (26.6099 -10.8503),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitef839ccd1eed3a480168aa7ce54d413b4a94c409762d2759dc6d11dfa3c2ac83b,MRDS,10085909,Ilintas,Russia,Sakha (Yakutiya),POINT (135.66428 65.91476),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site4e54b6af687060b1fe356c73421a33ae199ca52c999676a56a1975e20914fdaf,MRDS,10256208,Kilembe Cobalt Tailings Recovery,Uganda,,POINT (30.01798 0.23487),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitef768062eca490e7313c905a95fbb92ac36fc8ca2dcb4bf3cb66e5317a5698c7a,MRDS,10400559,Fwalu,Congo (Kinshasa),Katanga,POINT (26.155 -10.5807),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site0f9528565a1b98d55eb3bbbe37480188997afdda2aef9aed1d895ef86396a783,MRDS,10111872,R. Stockdale Property,United States,Alabama,POINT (-85.48915 33.95324),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitecda4a531bf0792a45eede7b199e84ac2ccde2286c331f0fe6d50b07a7bb35ece,MRDS,10400382,Mwambashi,Zambia,,POINT (28.00472 -12.75917),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site172e6b8034b934ccab90d1c138ec0a815fd9da86baa81eea446d215ced4cd3df,MRDS,10234200,Shag Cove,United States,Alaska,POINT (-136.34649 58.64412),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site07f62dcc70f484dc6d3a18019c4a22879deefb635ebf959ae39a399f55bde531,MRDS,10039370,Luikonlahti Mine,Finland,,POINT (27.40294 63.59846),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site39d9802b6c736ed6439fce4dbc3011ccf78928ff82ca1eab2f969bda4ece3176,MRDS,10091730,Lela North-5,United States,Oklahoma,POINT (-96.8978 36.39868),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site29f75f7d2daa0c7ddbcb6041f6e7658a9cc8b1da9a63a37fb8fee91b0aa21126,MRDS,10143929,Vaughn,United States,Georgia,POINT (-84.76963 34.24293),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site0f13b12ce31e6330ea75ba02671dad12b02fb1f86d607c6774feb1487411b10f,MRDS,10183296,Kilamusembu,Congo (Kinshasa),Katanga,POINT (25.39055 -10.70725),EPSG:4326,cobalt
