attribute_label,corresponding_attribute_label,file_name
source_id,"https://doi.org/10.5066/P96MMRFD",
record_id,ARDF_number,
name,site,
aliases,,
commodity,commodities_main,
commodity,commodities_other,
latitude,latitude,
longitude,longitude,
crs,"NAD27",
country,"United States",
state_or_province,"Alaska",
deposit_type_candidate,,
site_type,site_type,
uri,"https://doi.org/10.5066/P96MMRFD",
