ms_uri,source_id,record_id,country,state_or_province,location,crs,other_names,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__moa-bay-jv,https://doi.org/10.5382/econgeo.4950,Moa Bay JV,Cuba,"","",EPSG:4326,"",Moa Bay JV,"Iron,Nickel,Cobalt","Laterite,Oxide-hydrous Mg silicate"
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__monchegorsk-nkt,https://doi.org/10.5382/econgeo.4950,Monchegorsk-NKT,Russia,"","",EPSG:4326,"",Monchegorsk-NKT,"Silver,Copper,Gold,Nickel,Cobalt","Layered Intrusive,Magmatic Sulphide"
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__monchegorsk-sopcha-lodes,https://doi.org/10.5382/econgeo.4950,Monchegorsk-Sopcha (Lodes),Russia,"","",EPSG:4326,"",Monchegorsk-Sopcha (Lodes),"Copper,Gold,Silver,Cobalt,Nickel","Layered Intrusive,Magmatic Sulphide"
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__monchegorsk-sophuaivench,https://doi.org/10.5382/econgeo.4950,Monchegorsk-Sophuaivench,Russia,"","",EPSG:4326,"",Monchegorsk-Sophuaivench,"Nickel,Copper,Cobalt","Layered Intrusive,Magmatic Sulphide"
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__mount-fitch-ni-cu-co,https://doi.org/10.5382/econgeo.4950,Mount Fitch (Ni-Cu-Co),Australia,"","",EPSG:4326,"",Mount Fitch (Ni-Cu-Co),"Nickel,Cobalt,Copper","Hydrothermal Ni,Unconformity-related Uranium"
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__mount-kpote,https://doi.org/10.5382/econgeo.4950,Mount Kpote,Togo,"","",EPSG:4326,"",Mount Kpote,"Cobalt,Nickel","Hydrous Mg silicate-oxide,Laterite"
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__mount-sholl,https://doi.org/10.5382/econgeo.4950,Mount Sholl,Australia,"","",EPSG:4326,"",Mount Sholl,"Copper,Nickel,Cobalt,Palladium","Layered Intrusive,Magmatic Sulphide"
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__mount-thirsty,https://doi.org/10.5382/econgeo.4950,Mount Thirsty,Australia,"","",EPSG:4326,"",Mount Thirsty,"Nickel,Cobalt","Laterite,Oxide"
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__mount-thirsty-mission-sill,https://doi.org/10.5382/econgeo.4950,Mount Thirsty-Mission Sill,Australia,"","",EPSG:4326,"",Mount Thirsty-Mission Sill,"Cobalt,Nickel","Magmatic Sulphide,Proterozoic Komatiite"
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__mulga-rock-east-base-metals,https://doi.org/10.5382/econgeo.4950,Mulga Rock East (base metals),Australia,"","",EPSG:4326,"",Mulga Rock East (base metals),"Uranium,Cobalt,Copper,Zinc,Scandium,Nickel","Hydrothermal Ni,Unconformity-related Uranium"
