ms,ms_name,country,state_or_province,loc_wkt,group_id
https://minmod.isi.edu/resource/mineral_site6842f89d8360b4957c36bde681de27f939be88da0f67b2e619ad92a5362f2126,New Dominion,,Colorado,"POINT (-107.82254, 37.85811)",3345.0
https://minmod.isi.edu/resource/mineral_site9063c965799e7baff26a36b73c4fb2fc2e3f47775e25c92a6de0834287c047e8,Jumbo Claim,,Washington,"POINT (-118.94336, 48.31567)",3346.0
https://minmod.isi.edu/resource/mineral_sitea4bb5338d9e7f3c72b13e5062a50db05e2d6c46913d356bcd668a772a19c5fd0,Non Pareil Prospect,,Washington,"POINT (-121.44815, 47.85564)",3347.0
https://minmod.isi.edu/resource/mineral_site13ed68e97cfbc72a5cb1b2b0765f1a5a2638605067328a766ae630f9b97180f6,Blair,,Western Australia,"POINT (121.4159, -31.07939)",3348.0
https://minmod.isi.edu/resource/mineral_site0e2972f553666a9e37d3090645c0c36a466fc4493718fc067ae5a506de92e51c,Glacier Bay Nickel Sulfide Deposit-Alaska,,Alaska,"POINT (-137.08545, 58.83304)",3350.0
https://minmod.isi.edu/resource/mineral_siteb403ee697ab789f8ef9b0f3a14307d7953adb7afe1781f81227abf4ab842ae6d,Palillos-Asechahui Area Occurrence,,La Paz,"POINT (-68.43285, -14.49776)",3351.0
https://minmod.isi.edu/resource/mineral_site135e8e98d6313ad0f32724ab49a4f864f25ed18aa540c0b75ac2285ad12ebd31,NI 43-101 Technical Report for the Werner Lake Project in North America dated May 2016,,Ontario,POINT(-94.975 50.4685),3353.0
https://minmod.isi.edu/resource/mineral_site6aa9e2618ea5ff8e1b4e08f67b645ff2e55f74d3c5cd454d58db0946d6d669b8,"Cornelius Magnesite,Nickel-Gold Dep",,Washington,"POINT (-122.29234, 48.35731)",3357.0
https://minmod.isi.edu/resource/mineral_site8a5d6e93f2498fa9ed5e6ac231e437bc4308f4e3d232b9974ac275edfc28a6c2,Talley Group,,California,"POINT (-116.56694, 33.04426)",3361.0
https://minmod.isi.edu/resource/mineral_siteeba9a6f876bcda8179937d77f70a2323f7e8cc89f4d5e0e346381fdc75a66f49,NI 43-101 Technical Report for the Redstone Project in North America dated January 2010,,Ontario,POINT(-81.232944 48.530447),3362.0
https://minmod.isi.edu/resource/mineral_site2f23c00b98c4ccdfbabbd083c10f9f0b07d681a3434a5b9b3fe6d164896234f8,Long Dike Prospect,,Idaho,"POINT (-114.30953, 45.15159)",3420.0
