ms_uri,source_id,record_id,site_name,country,state_or_province,crs,commodity,deposit_type,longitude,latitude,GroupID
https://minmod.isi.edu/resource/mineral_site4e5d9bcefdb62313d877d88d65ed5fe4b584e6b133706b897bda12feed5410a0,MRDS,10045365,Lovelock Mine,United States,Nevada,EPSG:4326,"copper,cobalt,nickel","Komatiite nickel-copper-PGE,Vein u00b1 replacement nickel,U-M layered intrusion nickel- copper-PGE,Ophiolite nickel-copper-PGE,Carlin-type gold",-117.91457,39.99684,MRDS0
https://minmod.isi.edu/resource/mineral_siteff1f2725f829cf210ea5e9a54a388ef0f5484ee9aad135b47076b7c320c34e90,MRDS,10105494,Lovelock,United States,Nevada,EPSG:4326,"cobalt,nickel,copper","Komatiite nickel-copper-PGE,Vein five-element,Vein cobalt u00b1 Ni,Skarn copper,Arc U-M intru- sion nickel- copper-PGE",-117.91318,39.99657,MRDS0
https://minmod.isi.edu/resource/mineral_sitea0dc218a63741a0e2b76d4e90d306dbf5c2fdbb6753bd64f872d89bad031f597,MRDS,10246349,Lovelock Mine,United States,Nevada,EPSG:4326,"uranium,nickel,cobalt","Vein cobalt u00b1 Ni,Carlin-type gold,Collapse breccia pipe uranium,Unconformity- related ura- nium,Epithermal uranium",-117.91406,39.9963,MRDS0
https://minmod.isi.edu/resource/mineral_site50cc6097b9a9cec341ff484b1af575d128cd1cc828c98014b986d5c02c1bc7ab,MRDS,10279699,(Facility) Sered Smelter,Slovakia,"",EPSG:4326,"cobalt,nickel","Laterite nickel,Ophiolite chromium,Vein cobalt u00b1 Ni,U-M conduit nickel-copper- PGE,Ophiolite nickel-copper-PGE",17.75209,48.31535,MRDS1
https://minmod.isi.edu/resource/mineral_site182cc44f7d77eb886a862cb1bcedfafda976e8b2bbf101e6805b22c2cd8749aa,MRDS,10269533,Pea Ridge Mine,United States,Missouri,EPSG:4326,"rare earth elements,cobalt,iron","",-91.04652,38.12676,MRDS2
https://minmod.isi.edu/resource/mineral_site7c99075d8ee180bcbf38d69d19024261e1c8367464e99c6510af624e666e89bc,MRDS,10207215,(Facility) Nurnberg Smelter,Germany,Rheinland-Pfalz,EPSG:4326,cobalt,"",6.96894,50.33213,MRDS3
https://minmod.isi.edu/resource/mineral_site6d6fd5fdc82bd5e5f715f76c2edd54984afc0d978e4ead423fbdcab40ccdf115,MRDS,10158395,(Facility) Olen Smelter,Belgium,Antwerpen,EPSG:4326,"copper,cobalt","",4.86899,51.14886,MRDS3
https://minmod.isi.edu/resource/mineral_site91b1473be14191bf7ee6a004103c87e23ffd1b9cb721ce8552a65fbf445e037a,MRDS,10208331,(Facility) Duisburg Smelter,Germany,Nordrhein-Westfalen,EPSG:4326,"cobalt,copper","",6.7523,51.43212,MRDS3
https://minmod.isi.edu/resource/mineral_sited37820b0375c8061eee3121d8160a2f5437bef69810fdcdaeb6b69fc469ffd6e,MRDS,10112721,Unnamed Occurrence,United States,Alaska,EPSG:4326,"chromium,nickel,magnesite,cobalt","U-M layered intrusion chromium,Ophiolite chromium,Shoreline placer gold,Kimberlite diamond,Arc U-M intru- sion nickel- copper-PGE",-142.96636,61.07606,MRDS4
https://minmod.isi.edu/resource/mineral_sitef0a108e9e656307f6b1d36cc45a284475dfcb7a1d30e322a1e3633d154b150c8,MRDS,10070522,Ella Prospect,United States,Idaho,EPSG:4326,"copper,nickel,cobalt","Supergene copper,Vein copper,Arc U-M intru- sion nickel- copper-PGE,Vein u00b1 replacement nickel,Komatiite nickel-copper-PGE",-114.35542,45.12668,MRDS5
https://minmod.isi.edu/resource/mineral_site2c88a4b2fed33215e5be3676d565cccafd4de4b496b80b7c912c4dedd7708e31,MRDS,10070511,Katherine Prospect,United States,Idaho,EPSG:4326,"cobalt,copper,nickel","Vein cobalt u00b1 Ni,Vein u00b1 replacement nickel,Magnetite- dominant IOCG,Arc U-M intru- sion nickel- copper-PGE,Komatiite nickel-copper-PGE",-114.35677,45.1282,MRDS5
https://minmod.isi.edu/resource/mineral_sitee80fd779347a3318cd474f4dd39d31cf52255dc7c9493bcf61c2af2733c97033,MRDS,10068855,Caraiba Copper Deposit,Brazil,Bahia,EPSG:4326,"copper,cobalt,nickel,gold,silver","Exotic copper,Supergene copper,Replacement copper,Skarn copper,Vein copper",-39.86421,-9.8501,MRDS6
https://minmod.isi.edu/resource/mineral_site353ba71cca1622468da108797d721d530b1f79a6be0a58d744a1763eef1823ce,MRDS,10079598,Nepean,Australia,Western Australia,EPSG:4326,"iron,gold,cobalt,copper,iridium,nickel,palladium","Komatiite nickel-copper-PGE,Ophiolite nickel-copper-PGE,Vein u00b1 replacement nickel,Arc U-M intru- sion nickel- copper-PGE,Laterite nickel",121.08254,-31.16276,MRDS7
https://minmod.isi.edu/resource/mineral_sitedb3847c8a0c6126a7a72446f12eb127429e17d8da1635bd5d0d0049ca5954137,MRDS,10201411,Copperopolis,United States,Oregon,EPSG:4326,"cobalt,zinc,molybdenum,tungsten,lead,copper,silver,gold","Residual placer lead,Breccia pipe molybdenum,Supergene lead,Distal- disseminated silver-gold,Skarn molybdenum",-118.67995,44.55795,MRDS8
https://minmod.isi.edu/resource/mineral_site711da72498e9df05d3c07b64193228259ac863f7e53b5e4a0d1786eaac5690b9,MRDS,10400561,Kababankola,Congo (Kinshasa),Katanga,EPSG:4326,"copper,cobalt",Sediment-hosted copper,26.4227,-10.7333,MRDS9
https://minmod.isi.edu/resource/mineral_sited1011e5b61dba696e2ea9b4fdf3f4b4d2b49800b16d8a26c4c2aac41ee5bc097,MRDS,10024475,Levack Mine,Canada,Ontario,EPSG:4326,"gold,selenium,silver,copper,tellurium,nickel,platinum-group elements,cobalt","Komatiite nickel-copper-PGE,U-M conduit nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,U-M intrusion nickel-copper- PGE,Arc U-M intru- sion nickel- copper-PGE",-81.37757,46.65193,MRDS10
https://minmod.isi.edu/resource/mineral_site557b104c719c89a3668ba40034d94110349c96e0a2dc412ee37cf710a065b9f7,MRDS,10096182,Rangra-Nickel-Cobalt Deposit-Peru,Peru,"",EPSG:4326,"cobalt,nickel","Arc U-M intru- sion nickel- copper-PGE,Ophiolite nickel-copper-PGE,Komatiite nickel-copper-PGE,Vein cobalt u00b1 Ni,Laterite nickel",-75.41637,-11.41456,MRDS11
https://minmod.isi.edu/resource/mineral_site8059d63d6277c877bbb9d8f1790e96e39a8283ce92ef96cbaf8f57bbaaef1d82,MRDS,10289030,Curtis Deposit,United States,Connecticut,EPSG:4326,"cobalt,nickel","Vein cobalt u00b1 Ni,U-M conduit nickel-copper- PGE,Vein u00b1 replacement nickel,Laterite nickel,Distal- disseminated silver-gold",-73.27484,41.73329,MRDS12
https://minmod.isi.edu/resource/mineral_site0cf3226b7973f5b5a443e8ccf1a6bdc3bca064c17129dabf9d245b03ea794848,MRDS,10084659,Frost Prospect,United States,Maine,EPSG:4326,"nickel,cobalt,zinc,copper","Layered Iultramafic,Arc U-M intru- sion nickel- copper-PGE,NYF pegmatite,U-M intrusion nickel-copper- PGE,Magmatic,U-M conduit nickel-copper- PGE,Mafic-ultramafic VMS",-67.48247,45.08797,MRDS13
