ms_uri,source_id,record_id,country,state_or_province,location,crs,other_names,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10072012,https://mrdata.usgs.gov/mrds,10072012,United States,Idaho,POINT (-113.4933 44.8933),EPSG:4326,"",Big Thor Nos. 1 and 2 Vein Prospect,"Cerium,Erbium,Lutetium,Europium,Samarium,Thulium,Yttrium,Neoymium,Terbium,Lanthanum,Praseodymium,Dysprosium,Ytterbium,Holmium,Gadolinium,Thorium,Titanium","Abyssal pegmatite REE,Apatite intrusion REE,Fluvial placer REE,Unconformity- related REE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10072013,https://mrdata.usgs.gov/mrds,10072013,United States,Idaho,POINT (-113.4742 44.90739),EPSG:4326,Saddlerock,Thorite No. 1 Prospect,"Gadolinium,Yttrium,Samarium,Holmium,Erbium,Dysprosium,Praseodymium,Thorium,Neoymium,Lanthanum,Thulium,Europium,Terbium,Cerium,Lutetium,Ytterbium","Apatite intrusion REE,Ion adsorption REE,Unconformity- related REE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10072014,https://mrdata.usgs.gov/mrds,10072014,United States,Idaho,POINT (-113.4797 44.9478),EPSG:4326,"",Contact Prospect,"Dysprosium,Neoymium,Titanium,Praseodymium,Samarium,Terbium,Holmium,Thorium,Lutetium,Gadolinium,Cerium,Erbium,Yttrium,Lanthanum,Europium,Ytterbium,Thulium","Abyssal pegmatite REE,Apatite intrusion REE,Fluvial placer REE,Peralkaline igneous HFSE- REE,Unconformity- related REE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10072015,https://mrdata.usgs.gov/mrds,10072015,United States,Idaho,POINT (-113.4828 44.98459),EPSG:4326,"",No. 4 Thorium Prospect,"Lanthanum,Neoymium,Cerium,Lead,Yttrium,Thulium,Samarium,Holmium,Praseodymium,Dysprosium,Thorium,Europium,Lutetium,Erbium,Terbium,Gadolinium,Ytterbium","Unconformity- related REE,Vein five-element"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10072016,https://mrdata.usgs.gov/mrds,10072016,United States,Idaho,POINT (-113.4864 44.9861),EPSG:4326,"",In Trust Prospect,"Dysprosium,Yttrium,Holmium,Neoymium,Samarium,Terbium,Thulium,Thorium,Erbium,Gadolinium,Lutetium,Europium,Cerium,Praseodymium,Lanthanum,Ytterbium","Apatite intrusion REE,Fluvial placer REE,Unconformity- related REE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10072019,https://mrdata.usgs.gov/mrds,10072019,United States,Idaho,POINT (-113.4965 44.89269),EPSG:4326,"",No. 101 Thorium Deposit,"Lutetium,Holmium,Yttrium,Samarium,Erbium,Dysprosium,Europium,Gadolinium,Cerium,Terbium,Thorium,Thulium,Praseodymium,Lanthanum,Titanium,Neoymium,Ytterbium","Fluvial placer REE,Unconformity- related REE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10072021,https://mrdata.usgs.gov/mrds,10072021,United States,Idaho,POINT (-113.5003 44.89269),EPSG:4326,"",No. 99 Thorium Deposit,"Thulium,Holmium,Lanthanum,Titanium,Erbium,Thorium,Lutetium,Gadolinium,Yttrium,Neoymium,Ytterbium,Europium,Dysprosium,Terbium,Cerium,Samarium,Praseodymium",Unconformity- related REE
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10072022,https://mrdata.usgs.gov/mrds,10072022,United States,Idaho,POINT (-113.494 44.92819),EPSG:4326,"",Skyline No. 1 Prospect,"Erbium,Terbium,Dysprosium,Samarium,Thorium,Gadolinium,Lanthanum,Neoymium,Cerium,Holmium,Praseodymium,Yttrium,Ytterbium,Europium,Thulium,Lutetium","Apatite intrusion REE,Unconformity- related REE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10072024,https://mrdata.usgs.gov/mrds,10072024,United States,Idaho,POINT (-113.4506 44.9525),EPSG:4326,"",Dictator No. 6 Prospect,"Cerium,Lutetium,Erbium,Neoymium,Samarium,Holmium,Praseodymium,Thulium,Yttrium,Europium,Thorium,Lanthanum,Terbium,Ytterbium,Gadolinium,Dysprosium","Apatite intrusion REE,Unconformity- related REE"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10072025,https://mrdata.usgs.gov/mrds,10072025,United States,Idaho,POINT (-113.4628 44.9478),EPSG:4326,"",No. 69 Thorium Deposit,"Terbium,Thorium,Cerium,Yttrium,Holmium,Dysprosium,Ytterbium,Lanthanum,Lutetium,Europium,Samarium,Gadolinium,Thulium,Erbium,Praseodymium,Neoymium","Abyssal pegmatite REE,Apatite intrusion REE,Ion adsorption REE,Unconformity- related REE"
