ms_uri,source_id,record_id,other_names,country,state_or_province,location,crs,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10069401,https://mrdata.usgs.gov/mrds,10069401,"",United States,Kentucky,POINT (-88.38337 37.21674),EPSG:4326,Dyers Hill Fluorspar Deposits,"Germanium,Gallium,Zinc,Lead,Cadmium,Fluorine-Fluorite","MVT fluorspar,Replacement fluorite,Vein fluorite"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10069407,https://mrdata.usgs.gov/mrds,10069407,"Oxford,1,Frailey Workings,And Other Lesser Deposits,Austin Mines,Martin Prospect,Hill-Ledford,Minerva No,Grischy Mines,Deardorf,Crystal Mines Minerva Oil,Palmer Mine,Hill Property,Co,Underwood Property,Fluorspar Products Lead Hill Group,Patton Shaft,Green and Davis Group All Owned By Ozark - Mahoning,Patrick Mine,Frayser Mines,Oxford - Morrison Open Pit,And Tower Rock Workings,Eureka Prospect,Winn Property,Tems Prospect,Victory",United States,Illinois,POINT (-88.20003 37.51674),EPSG:4326,Cave In Rock Quadrangle Mine,"Calcium,Lead,Barium-Barite,Cadmium,Iron,Silver,Gallium,Fluorine-Fluorite,Zinc,Germanium,Quartz","MVT fluorspar,Replacement fluorite,Vein fluorite"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10073115,https://mrdata.usgs.gov/mrds,10073115,"Zawiercie Mines,Boleslaw Olkusz Area,Trzebionka Chrzanow Area,Matylda,Pomorzany,Orzel Bialy Bytom Area",Poland,"",POINT (18.86883 50.28193),EPSG:4326,Silesia - Cracow Zn - Pb Mines,"Zinc,Arsenic,Lead,Thallium,Germanium,Cadmium,Silver","Irish-type sediment- hosted zinc- lead,MVT zinc-lead,Replacement zinc-lead"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10073249,https://mrdata.usgs.gov/mrds,10073249,"",United States,Idaho,POINT (-111.57022 43.41912),EPSG:4326,Uranium Sample Locality 3,"Molybdenum,Germanium,Coal,Uranium","Carbonate uranium,Coal/peat/bog uranium"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10073250,https://mrdata.usgs.gov/mrds,10073250,"",United States,Idaho,POINT (-111.50912 43.41382),EPSG:4326,Uranium Sample Locality 6,"Germanium,Molybdenum,Coal,Uranium",Coal/peat/bog uranium
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10073251,https://mrdata.usgs.gov/mrds,10073251,"",United States,Idaho,POINT (-111.45831 43.39132),EPSG:4326,Uranium Sample Locality 7,"Germanium,Uranium,Molybdenum,Coal",Coal/peat/bog uranium
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10073252,https://mrdata.usgs.gov/mrds,10073252,"",United States,Idaho,POINT (-111.52612 43.35992),EPSG:4326,Uranium Sample Locality 16,"Molybdenum,Germanium,Coal,Uranium",Coal/peat/bog uranium
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10073253,https://mrdata.usgs.gov/mrds,10073253,"",United States,Idaho,POINT (-111.51222 43.37102),EPSG:4326,Uranium Sample Localities 17 and 18,"Uranium,Germanium,Molybdenum,Coal","Coal/peat/bog uranium,Residual clay"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10073254,https://mrdata.usgs.gov/mrds,10073254,"",United States,Idaho,POINT (-111.50642 43.36632),EPSG:4326,Uranium Sampling Localities 19 and 20,"Molybdenum,Germanium,Uranium,Coal",Coal/peat/bog uranium
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10073258,https://mrdata.usgs.gov/mrds,10073258,"",United States,Idaho,POINT (-111.47191 43.34772),EPSG:4326,Uranium Sampling Localities 25 and 26,"Uranium,Germanium,Molybdenum,Coal","Carbonate uranium,Coal/peat/bog uranium"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10073259,https://mrdata.usgs.gov/mrds,10073259,"",United States,Idaho,POINT (-111.54192 43.32662),EPSG:4326,Uranium Sampling Localities 27 and 28,"Uranium,Molybdenum,Germanium,Coal",Coal/peat/bog uranium
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10073262,https://mrdata.usgs.gov/mrds,10073262,"",United States,Idaho,POINT (-111.47441 43.27682),EPSG:4326,Uranium Sampling Localities 33 and 34,"Molybdenum,Uranium,Germanium,Coal","Carbonate uranium,Coal/peat/bog uranium"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10073263,https://mrdata.usgs.gov/mrds,10073263,"",United States,Idaho,POINT (-111.23111 43.24132),EPSG:4326,Uranium Sampling Locality 36,"Uranium,Coal,Germanium,Molybdenum",Coal/peat/bog uranium
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10087146,https://mrdata.usgs.gov/mrds,10087146,"",United States,Utah,POINT (-113.82803 37.05776),EPSG:4326,Dewey Prospect,"Lead,Germanium,Copper","Non-sulfide zinc-lead ± Mn,Replacement copper,Replacement zinc-lead"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10088447,https://mrdata.usgs.gov/mrds,10088447,"Dixie-Apex,Utah-Eastern Mine,Apex,Pen",United States,Utah,POINT (-113.8047 37.0697),EPSG:4326,Dixie Mine,"Copper,Lead,Zinc,Gold,Gallium,Arsenic,Germanium,Silver,Iron",Kipushi-type sediment- hosted copper- zinc-lead
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10089357,https://mrdata.usgs.gov/mrds,10089357,"",Namibia,"",POINT (18.01814 -19.24704),EPSG:4326,Tsumeb Mine,"Germanium,Cadmium,Lead,Zinc,Copper,Silver","Kipushi-type sediment- hosted copper- zinc-lead,Replacement zinc-lead"
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10089373,https://mrdata.usgs.gov/mrds,10089373,"",United States,Idaho,POINT (-111.44271 43.24682),EPSG:4326,Uranium Sampling Locality 35,"Coal,Germanium,Molybdenum,Uranium","Carbonate uranium,Coal/peat/bog uranium"
