country,ms_uri,source_id,record_id,state_or_province,location,crs,other_names,site_name,commodity,deposit_type,link_method,longitude,latitude,GroupID
Canada,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10133442,https://mrdata.usgs.gov/mrds,10133442,Ontario,POINT (-86.1999599999999901 48.7999999999999901),EPSG:4326,Marathon,Marathon,",Silver,pper,Gold,,balt,,","U-M layered intrusion PGE,U-M layered intrusion nickel- copper-PGE",GEO,-86.19996,48.8,https://mrdata.usgs.gov/mrds1382
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10156498,https://mrdata.usgs.gov/mrds,10156498,Washington,POINT (-121.5451099999999940 48.0001099999999994),EPSG:4326,"Paystreak,Mystery",Mountain Cedar,"Silver,pper,","Anorthosite conduit nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE",GEO,-121.54511,48.00011,https://mrdata.usgs.gov/mrds1383
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10036817,https://mrdata.usgs.gov/mrds,10036817,Washington,POINT (-121.5495399999999790 48.0011999999999972),EPSG:4326,"Mystery,Paystreak",Mountain Cedar,"pper,Silver,,,,Gold",Vein polymetallic,GEO,-121.54954,48.0012,https://mrdata.usgs.gov/mrds1383
Bolivia,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10006248,https://mrdata.usgs.gov/mrds,10006248,"",POINT (-68.4328499999999877 -14.4977599999999995),EPSG:4326,"Tigre Rumi,Rio Ipuni,Apolo",Palillos Asechahui Area,",pper,,","Black shale nickel ± Mo- PGE,Non-sulfide zinc-lead ± Mn,Siliciclastic-mafic zinc-lead",GEO,-68.43285,-14.49776,https://mrdata.usgs.gov/mrds1384
Russia,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10303905,https://mrdata.usgs.gov/mrds,10303905,"",POINT (32.9200000000000017 67.8817399999999935),EPSG:4326,Severonikel Refinery,(Facility) Monchegorsk Refinery,",, Refiner,pper,balt","U-M conduit nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE",GEO,32.92,67.88174,https://mrdata.usgs.gov/mrds1385
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10281586,https://mrdata.usgs.gov/mrds,10281586,Alaska,POINT (-149.3852299999999786 67.5716100000000068),EPSG:4326,"1,No",Mouth,"Gold,,Silver,","Fluvial placer gold,Shoreline placer gold",GEO,-149.38523,67.57161,https://mrdata.usgs.gov/mrds1386
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10041727,https://mrdata.usgs.gov/mrds,10041727,Washington,POINT (-119.7747899999999959 48.9642699999999991),EPSG:4326,"",Mt,"","Arc U-M intru- sion nickel- copper-PGE,Ophiolite nickel-copper-PGE,Vein ± replacement nickel",GEO,-119.77479,48.96427,https://mrdata.usgs.gov/mrds1387
France,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000626,https://mrdata.usgs.gov/mrds,60000626,"",POINT (166.0318200000000104 -21.5469000000000008),EPSG:4326,"Circee,3 Mines,Edouard,O,M,S",Nakety (Noumea ),",balt",Laterite nickel,GEO,166.03182,-21.5469,https://mrdata.usgs.gov/mrds1388
Canada,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039335,https://mrdata.usgs.gov/mrds,10039335,Saskatchewan,POINT (-107.9198999999999842 59.6528700000000072),EPSG:4326,"",Achak,"elements,","Anorthosite conduit nickel- copper-PGE,Black shale nickel ± Mo- PGE,U-M intrusion nickel-copper- PGE",GEO,-107.9199,59.65287,https://mrdata.usgs.gov/mrds1389
Malawi,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038876,https://mrdata.usgs.gov/mrds,10038876,"",POINT (35.3345899999999915 -15.6638100000000016),EPSG:4326,"",Chilingali Hill,"Gold,,pper,,","Arc U-M intru- sion nickel- copper-PGE,Ophiolite nickel-copper-PGE,U-M conduit nickel-copper- PGE",GEO,35.33459,-15.66381,https://mrdata.usgs.gov/mrds1390
