country,ms_uri,source_id,record_id,state_or_province,crs,other_names,site_name,commodity,deposit_type,link_method,loc_GroupID,GroupID_location,GroupID_text
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10235926,https://mrdata.usgs.gov/mrds,10235926,California,EPSG:4326,"",1,",,","Breccia pipe molybdenum,Greisen tungsten- molybdenum±Bi,Skarn molybdenum,Skarn tungsten ± Mo",GEO,ALL3303,GROUP24,GROUPALL3303
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10212537,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10008551",https://mrdata.usgs.gov/mrds,"10008551,10212537",California,EPSG:4326,"1 and 2,Brownstone Nos,John Muir Wilderness,1 and 2,Brownstone",Brown,",,","Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo,Vein tungsten,Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL3304,GROUP24,GROUPALL3304
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10125288,https://mrdata.usgs.gov/mrds,10125288,Nevada,EPSG:4326,"",Ng,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein tungsten",GEO,ALL3306,GROUP24,GROUPALL3306
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10019943,https://mrdata.usgs.gov/mrds,10019943,Montana,EPSG:4326,Mercury and Manhatten,Manhatten and,"","Greisen tungsten- molybdenum±Bi,Vein tungsten",GEO,ALL3308,GROUP24,GROUPALL3308
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10098068,https://mrdata.usgs.gov/mrds,10098068,Utah,EPSG:4326,Lockheed Mine,King,",,pper,,","Ferroan carbonate polymetallic,Iron oxide poly- metallic,Iron silicate polymetallic",GEO,ALL3309,GROUP24,GROUPALL3309
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10222776,https://mrdata.usgs.gov/mrds,10222776,Nevada,EPSG:4326,King,King,"",Greisen tungsten- molybdenum±Bi,GEO,ALL3310,GROUP24,GROUPALL3310
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10148880,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10019447",https://mrdata.usgs.gov/mrds,"10148880,10019447",Montana,EPSG:4326,"","Windy Ridge,Windy Ridge s",",,","Greisen tungsten- molybdenum±Bi,Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL3311,GROUP24,GROUPALL3311
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10087839,https://mrdata.usgs.gov/mrds,10087839,Colorado,EPSG:4326,"",Hazel Marie,",,,,pper,,,,,",Greisen beryllium±Li,GEO,ALL3312,GROUP24,GROUPALL3312
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10272618,https://mrdata.usgs.gov/mrds,10272618,New Mexico,EPSG:4326,"",Parker Strike,"","Greisen tungsten- molybdenum±Bi,Porphyry tungsten",GEO,ALL3313,GROUP24,GROUPALL3313
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10287331,https://mrdata.usgs.gov/mrds,10287331,California,EPSG:4326,"Jan Cavanaugh,James Finley,Garnet",Tamarack,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL3314,GROUP24,GROUPALL3314
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10101418,https://mrdata.usgs.gov/mrds,10101418,Washington,EPSG:4326,"","",",,,,pper",Orogenic silver-lead- zinc-copper- antimony,GEO,ALL3315,GROUP24,GROUPALL3315
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10234376,https://mrdata.usgs.gov/mrds,10234376,Arizona,EPSG:4326,Townsend Plan,Blue Bird,",,,","Epizonal orogenic antimony ± gold,Greisen tungsten- molybdenum±Bi",GEO,ALL3316,GROUP24,GROUPALL3316
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10217009,https://mrdata.usgs.gov/mrds,10217009,Idaho,EPSG:4326,"",Strickna,"",Greisen tungsten- molybdenum±Bi,GEO,ALL3317,GROUP24,GROUPALL3317
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10101868,https://mrdata.usgs.gov/mrds,10101868,Colorado,EPSG:4326,"Blacksmith Tunnel,Blaine Tunnel,Argentine Shaft,Blackhawk Log Cabin,And Portion of St,James G,Maggie Shaft,Louis Tunnel,Argentine Mine Encompassing Rico Consolidated",Ri-Argene,",,,,,,,pper,,",Replacement polymetallic,GEO,ALL3318,GROUP24,GROUPALL3318
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10022918,https://mrdata.usgs.gov/mrds,10022918,Idaho,EPSG:4326,"",Scheelite Nellie Nos 1 - 4,"","Fluvial placer tungsten,Greisen tungsten- molybdenum±Bi",GEO,ALL3319,GROUP24,GROUPALL3319
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10018493,https://mrdata.usgs.gov/mrds,10018493,Colorado,EPSG:4326,"",Hercules,"",Greisen tungsten- molybdenum±Bi,GEO,ALL3320,GROUP24,GROUPALL3320
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10212059,https://mrdata.usgs.gov/mrds,10212059,California,EPSG:4326,"",Brown,"","Fluvial placer tungsten,Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo",GEO,ALL3321,GROUP24,GROUPALL3321
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10271430,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10098592",https://mrdata.usgs.gov/mrds,"10271430,10098592",Nevada,EPSG:4326,"",El Capitan,"","Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo,Skarn tungsten ± Mo",GEO,ALL3324,GROUP24,GROUPALL3324
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000297,https://mrdata.usgs.gov/mrds,60000297,Montana,EPSG:4326,"",First Chance (Garnet),",",Skarn tungsten ± Mo,GEO,ALL3325,GROUP24,GROUPALL3325
