ms_uri,source_id,record_id,site_name,country,state_or_province,location,crs,commodity,deposit_type
https://minmod.isi.edu/resource/mineral_site6c4f85592b31c63ed8c8c53db02293f5ec19ec3da635e42e934a66bb17c840ae,https://mrdata.usgs.gov/mrds,60000526,Ramu River Laterite Deposit,Papua New Guinea,"",POINT (145.18216 -5.54792),EPSG:4326,"nickel,iron,chromium,cobalt","Laterite nickel,Laterite magnesite,Vein u00b1 replacement nickel,Ophiolite nickel-copper-PGE,LATERITE"
https://minmod.isi.edu/resource/mineral_site445c1c051ca69ecc2467849e5c577d4b8626ee299ff50ca313c2d32a207d092c,https://mrdata.usgs.gov/mrds,10010086,Ruth,United States,Missouri,POINT (-90.29593 37.52674),EPSG:4326,"copper,lead,cobalt",MVT zinc-lead
https://minmod.isi.edu/resource/mineral_site8a64f0499ef317a573c234107a6fe691b27bf9763bb10799f3a3255b988eff87,https://mrdata.usgs.gov/mrds,10024585,Frood Mine,Canada,Ontario,POINT (-81.00811 46.52499),EPSG:4326,"copper,cobalt,selenium,silver,gold,platinum-group elements,nickel,tellurium","U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE"
https://minmod.isi.edu/resource/mineral_site6805219eea5945365f948ddf3c83082dd1ec2176b02b985631a0a1ee606fc65a,https://mrdata.usgs.gov/mrds,10067769,Chatham Great Hill Cobalt Nickel Arsenopyrite Mine,United States,Connecticut,POINT (-72.55035 41.57721),EPSG:4326,"lead,nickel,sulfur,arsenic,iron,zinc,copper,cobalt","Simple pegmatite,Replacement polymetallic,Vein cobalt u00b1 Ni"
https://minmod.isi.edu/resource/mineral_sitefc1fe767d87d74f9b10f71e66ab5e1e5e36ec53cf94c7483edab41c0cb00f128,https://mrdata.usgs.gov/mrds,10236541,Bishop Silver-Cobalt Mines,United States,California,POINT (-118.54704 37.14435),EPSG:4326,"gold,copper,zinc,cobalt,silver,nickel","Skarn tungsten u00b1 Mo,Marine evaporite salt,Skarn gold u00b1 copper u00b1 tungsten,Replacement polymetallic,Lacustrine evaporite nitrate,Marine evaporite magnesite,Fluvial placer tungsten,Vein polymetallic,Porphyry tungsten"
https://minmod.isi.edu/resource/mineral_site07ac1c3814bbb06b8c826cde56f7eb279f35a9109c41e69f7525ffc848e4761d,https://mrdata.usgs.gov/mrds,10227685,Pocahontas Mine,United States,Virginia,POINT (-81.44012 37.18447),EPSG:4326,"cobalt,lithium","Supergene manganese,Sedimentary manganese"
https://minmod.isi.edu/resource/mineral_site116d5e799bba5b477fe718134c62ef271b9ecf7ce2a2029d48af54f8be76f6f6,https://doi.org/10.5066/P96MMRFD,SK056,Unnamed (near Tsirku Glacier ),United States,Alaska,POINT (136.45 59.32),EPSG:4269,"cobalt,silver,barium-barite,lead,zinc,gold,copper","1986,but probably either a polymetallic quartz-sulfide vein or a Besshi- or Kuroko-type volcanogenic massive-sulfide occurrence (Cox and Singer,models 22c,28a),24b,Unknown"
https://minmod.isi.edu/resource/mineral_site92cb66150916807759a51ccbef4caa03a601307d87612ff2b2605254d9ea4edd,https://mrdata.usgs.gov/mrds,10306002,Bearden,United States,Georgia,POINT (-84.73323 34.23343),EPSG:4326,"nickel,cobalt,manganese","Sedimentary manganese,Volcanogenic manganese,Nodule manganese,Superior-type banded manganese,Supergene manganese,Replacement manganese,Residual,Lacustrine manganese"
https://minmod.isi.edu/resource/mineral_sitecdf6cb43ef7321a5f486adbb4352dc749a071dd8ccd07f2d4edeade29cc29389,https://mrdata.usgs.gov/mrds,10037860,Thompson River Copper Mine,Australia,Victoria,POINT (146.39936 -37.93059),EPSG:4326,"silver,cobalt,nickel,palladium,platinum,gold,platinum-group elements,copper","U-M intrusion nickel-copper- PGE,U-M layered intrusion PGE,U-M conduit nickel-copper- PGE,Arc U-M intru- sion nickel- copper-PGE"
https://minmod.isi.edu/resource/mineral_sited3c50a820eccc46ad6ec468a0219b825f5a82c04de1f8fd36072654e12893158,https://mrdata.usgs.gov/mrds,10032265,Hansen Mine,United States,Oregon,POINT (-123.70199 42.53538),EPSG:4326,"silver,gold,cobalt,copper,zinc","Replacement polymetallic,Sediment-hosted copper u00b1 Co,Fluvial placer gold,Distal- disseminated silver-gold,Porphyry copper u00b1 gold,Skarn copper,Mesozonal orogenic gold,Vein copper"
