ms_uri,source_id,site_name,country,state_or_province,location,crs,commodity
https://minmod.isi.edu/resource/mineral_sitea076d33049e9448b1333b4237a239c265bdbda5e23740d66e51aefe4e9c3ddb6,MRDS,Meadow Creek,United States,Idaho,"POINT (-115.04957, 45.83018)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sited7833c74b5292c0f5d6731bd61fed85604f712da7f0061545a600a52091e83df,MRDS,Birch Lake,United States,Minnesota,"POINT (-91.81794, 47.75027)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sited176355c64b6f905aa0c2c189f83d24a8ec6a5c78cadfab23418a944c59903e5,MRDS,Unknown - Lead.Copper-Nickel.Cobalt,United States,Missouri,"POINT (-90.3554, 37.63256)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site1093c0135c80813b4aaa4f907fd979e05fade7c2d3fadc07b7b206f7e572b7d0,MRDS,Lockerby Mine,Canada,Ontario,"POINT (-81.32535, 46.43249)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site9bb90d0020adecdf0774dcd82db7bb0b412f0a74e5e203c884f09e81f8d2cbf0,MRDS,Unknown - Lead-Cobalt-Copper-Nickel,United States,Missouri,"POINT (-90.4309, 37.58977)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site35fd949bf78d846236f6c5dfa050f3006156d3520dd59692c228eabe1a718354,MRDS,Mineral Mountain Mine,United States,Idaho,"POINT (-116.05523, 47.50457)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site8d06c14274c5986eeb3e1cb86de9564a8326a1ed5edab4fc82aaf3fa29b45dd7,MRDS,Rum Jungle Field,Australia,Northern Territory*,"POINT (130.9991, -12.99724)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site175f4b8071a7de210e65e1bfa41fc4faab5aab6d6354dcbaa8b7d3d104fee6e4,MRDS,"Pishkash North Mine, Albania",Albania,,"POINT (20.0702, 41.14107)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_siteb36b8c02b05670beb3b40f5350904a02a3c18b6a94791dbbc19e438dad83e143,MRDS,(Facility) Ta Nun Nickel Smelter Talent,Taiwan,,"POINT (120.28258, 23.39939)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site9341d9e18ed5c8ef94e3c5940cc32f715f981ed6484646acd48784b7d80054e9,MRDS,Zapoiyarnij Plant,Russia,,"POINT (30.8369, 69.41522)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site05839508b365295d184e6c7a7d6c2624bd94850d3948739847220fbf1a93fdc5,MRDS,Hot Springs Dome Prospect,United States,Alaska,"POINT (-150.74749, 65.02878)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site9c767dce8569538fc4ef875cbfaa3d48338ad6eaa05740db67c7391a196f678a,MRDS,Alhambra Mine,United States,New Mexico,"POINT (-108.50951, 32.7215)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitee0e4dc018b7d4fe0b48c6bb980c14601a6944696be3a9dbea9ff2b7b61a1bd93,MRDS,Yuzhuralnickel Complex,Russia,,"POINT (60.30141, 56.76456)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitee07a5c17148c7ebbc5e8c01929d771aca3b8926b1d5250a85e83a5de23e8492e,MRDS,Kabanga Deposit,Tanzania,,"POINT (30.66794, -2.8315)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site4fb398adda7a1ac47998b1aa68801d163e880293bfce55b845541186b39e481f,MRDS,Shadro Mine,United States,California,"POINT (-123.63475, 41.95292)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sited8f87d6be1937f75dbb249c0ecb6558f77b9b0a0358e528307d43a03c873ee55,MRDS,Wallingford Prospect,United States,Kentucky,"POINT (-88.05063, 37.33817)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitee2c86ade960ef02b6342f40946963ccad37abd468bc452ed1567ddc8d537dfad,MRDS,Snipe Bay Prospect,United States,Alaska,"POINT (-134.96498, 56.43443)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site97300b23778ba1719bb6a9c8bab167d5f3fef88e2359a8f349d88af8cdb3e334,MRDS,Crystal Mountain Fluorspar Mine,United States,Montana,"POINT (-113.8876, 46.00572)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site2984cec2d99cad4b2d8069cd398aaa04b06a72837152af4ccb2357752bbd4819,MRDS,Niquegua,Guatemala,,"POINT (-89.45006, 15.55081)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_siteca28fc2c87e084754608a718163841e0405564448a485e3a64651c7d13c96bb9,MRDS,Fall Creek Copper,United States,Oregon,"POINT (-123.76866, 42.29538)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site78116b16bc6b79ecb941574648715663ff4b6b3cfe34997a69636c0a3ea7bf2e,MRDS,Sturgeon River,United States,Alaska,"POINT (-154.52686, 57.40628)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site122427840de18f3423e8347580acb976f5f34720775a3a446310d5ee92d724e5,MRDS,Nickel Dome 1&2,United States,Oregon,"POINT (-117.44271, 44.39566)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site74f87558b8ab21052dca6d7e054a803b8cd309005323bee5aeb5a0a09cefda3a,MRDS,Nye Basin Ni-Cu East,United States,Montana,"POINT (-109.83551, 45.37409)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site01c4964040be33ddd99fbd66179ccbcc9b1d733768d806cab274eee418a670ed,MRDS,Manicani Island,Philippines,Samar,"POINT (125.63231, 11.00054)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site51a63356b58dbf6fd91e7d7a19800c75b7e6d6b4f7a9e493503681334c69ef3a,MRDS,Unnamed Prospect,United States,California,"POINT (-116.90727, 35.1006)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site48a8034e75e494a21221684b97bedab76fb998e71f53d36e727793cced0f9570,MRDS,"Rankin Inlet Nickel Co, Cu, Pt, Pd Mine-Canada",Canada,Northwest Territories,"POINT (-92.33361, 62.55025)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site5ad9a85085d274331cdc4d5e5587fff78e9b9a80924d54bab02532014c0d0ba9,MRDS,Negro Creek,United States,Washington,"POINT (-120.76978, 47.40622)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site606e30f3a6f1ddca334bc5fe3e12714380c0b569cee0597fe689d47db55dcec2,MRDS,"Christina, Guatemala",Guatemala,Izabal,"POINT (-89.15005, 15.36749)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitea465504802ca6e23600e2a560d2e082446bff997cc144a01e61d03c17048adfb,MRDS,Sawtooth-Hogback Area,United States,Montana,"POINT (-112.13976, 44.8741)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site4f817db67a3a15363b85deb447f15d8072d4f087984067ea6f5f2c8947c219f4,MRDS,Unnamed,United States,California,"POINT (-116.18613, 32.68927)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site9abb157124dccd0c87653b527ac57b1be841b91f79be3efa768fb66571410aef,MRDS,(Facility) Clydach Nickel Refinery,United Kingdom,,"POINT (-3.9477, 51.63233)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitea5a043868c8f5ca3d5308c4ef7f73b9b3260e6f48769839e17f42849d2610283,MRDS,Gersdorffite Mine,Canada,Ontario,"POINT (-85.83252, 50.07311)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site6c0b64ac879ae300dc75c0b53c07d7899c4a9aa1d2204b240f44b850898292a7,MRDS,Upper Chetco and Square Lake,United States,Oregon,"POINT (-123.89366, 42.16454)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site634019fecbfc304a2e247b67b010497f4575bd24d27bf1d5a73ff5a11253f8e8,MRDS,Stephens,United States,Washington,"POINT (-122.1643, 48.4337)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site0118d145c2bc027890a8485c53777d68044dc13b81589296d384afd5549a960b,MRDS,Unnamed [on Pete Dahl (Copper Sands) Island],United States,Alaska,"POINT (-145.54247, 60.3496)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitec94e8802d2cbbfd29ba49227d64d1a7c368ebb3c8942a305449608c3b28ca248,MRDS,Yubileinnoe Deposit,Russia,,"POINT (41.00177, 49.99824)",EPSG:4326,nickel
