country,ms_uri,source_id,record_id,state_or_province,crs,other_names,site_name,commodity,deposit_type,link_method,GroupID
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10035318,https://mrdata.usgs.gov/mrds,10035318,California,EPSG:4326,"",Bright Outlook,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein tungsten",GEO,ALL2214
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10220874,https://mrdata.usgs.gov/mrds,10220874,Montana,EPSG:4326,"",Len,"",Greisen tungsten- molybdenum±Bi,GEO,ALL2215
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10270010,https://mrdata.usgs.gov/mrds,10270010,Montana,EPSG:4326,"",Denny,",","Greisen tungsten- molybdenum±Bi,Skarn molybdenum",GEO,ALL2216
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10308748,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10000910",https://mrdata.usgs.gov/mrds,"10308748,10000910",Alaska,EPSG:4326,"",Unnamed,",pper,,,","Vein tungsten,Greisen tungsten- molybdenum±Bi,Oxidized intrusion- related gold",GEO,ALL2217
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10114914,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10035257",https://mrdata.usgs.gov/mrds,"10035257,10114914",California,EPSG:4326,"Tungstore No 2 Mine,",2,"","Skarn tungsten ± Mo,Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo,Vein tungsten",GEO,ALL2218
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10159546,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10010780",https://mrdata.usgs.gov/mrds,"10010780,10159546",South Dakota,EPSG:4326,"",Wolfram Lode,"","Greisen tungsten- molybdenum±Bi,Greisen tungsten- molybdenum±Bi,Vein tungsten",GEO,ALL2219
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10131532,https://mrdata.usgs.gov/mrds,10131532,Washington,EPSG:4326,"",Sheep Track,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL2221
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10227307,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10011246,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009962",https://mrdata.usgs.gov/mrds,"10009962,10011246,10227307",Utah,EPSG:4326,"",Scheelite Queen,",,","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein tungsten,Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL2222
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096376,https://mrdata.usgs.gov/mrds,10096376,Idaho,EPSG:4326,"",s,",,,",Greisen tungsten- molybdenum±Bi,GEO,ALL2223
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10163749,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10101398,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10076551",https://mrdata.usgs.gov/mrds,"10076551,10163749,10101398",California,EPSG:4326,"",Dinkey,"","Fluvial placer tungsten,Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo,Vein tungsten,Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL2224
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10203382,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10041787",https://mrdata.usgs.gov/mrds,"10041787,10203382",Utah,EPSG:4326,"Dwyer Tunnel,Alta-Quincy Tunnel,Alta United Mines Co,Columbus-Wedge,Sells Claims,Alta-Quincy Tunnel,South Columbus Mine,Ivanhoe,Alta-Hecla Claims",South Hecla,",,,,,pper,pper,,,,,,",",Orogenic silver-lead- zinc-copper- antimony,Replacement polymetallic,Vein polymetallic",GEO,ALL2225
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10278850,https://mrdata.usgs.gov/mrds,10278850,Alaska,EPSG:4326,Kizhuyak Lode,Kizhuyak,",,","Greisen tungsten- molybdenum±Bi,Skarn gold ± copper ± tungsten",GEO,ALL2226
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10098690,https://mrdata.usgs.gov/mrds,10098690,Nevada,EPSG:4326,"Molib,Black Warrior Peak Prospect,Angelia Prospect,2885,2886,NBMG Sample Sites 2884",Anglia,",,pper,,,,","Epizonal orogenic antimony ± gold,Vein polymetallic,Vein tin polymetallic",GEO,ALL2228
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10101288,https://mrdata.usgs.gov/mrds,10101288,California,EPSG:4326,Lava Cap,Banner and Central,"pper,,,,",Mesozonal orogenic gold,GEO,ALL2229
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10014329,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10125205",https://mrdata.usgs.gov/mrds,"10014329,10125205",Nevada,EPSG:4326,"Jack,Moly Tonopah,Moly",Tonopah,",,,pper","Skarn tungsten ± Mo,Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL2230
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009610,https://mrdata.usgs.gov/mrds,10009610,Alaska,EPSG:4326,"",At Bar,",,,",Fluvial placer tungsten,GEO,ALL2231
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013100,https://mrdata.usgs.gov/mrds,10013100,Colorado,EPSG:4326,"",Oliver,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein tungsten",GEO,ALL2232
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10297590,https://mrdata.usgs.gov/mrds,10297590,North Carolina,EPSG:4326,"",Tippet,"",Greisen tungsten- molybdenum±Bi,GEO,ALL2233
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10018657,https://mrdata.usgs.gov/mrds,10018657,Colorado,EPSG:4326,"",cup and Gypsy,"",Greisen tungsten- molybdenum±Bi,GEO,ALL2234
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10262959,https://mrdata.usgs.gov/mrds,10262959,Colorado,EPSG:4326,"",Jap,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL2236
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10116811,https://mrdata.usgs.gov/mrds,10116811,California,EPSG:4326,"Tungsten King,See 0060710437,Adelanto Tungsten Fields",Shadow Mts -Middle Field,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein tungsten",GEO,ALL2237
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10260670,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10163822",https://mrdata.usgs.gov/mrds,"10163822,10260670",California,EPSG:4326,"Red-Top Moutain,Dome Claims,",Red Top Mountain s,",pper,,,,pper,","Porphyry copper- molybdenum,Skarn molybdenum",GEO,ALL2239
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10190364,https://mrdata.usgs.gov/mrds,10190364,California,EPSG:4326,"",Stewart Fork,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL2240
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10081559,https://mrdata.usgs.gov/mrds,10081559,Vermont,EPSG:4326,Old Copper Mine,Cutgsville,"pper,,","Greisen tungsten- molybdenum±Bi,Porphyry gold ± copper",GEO,ALL2241
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10308658,https://mrdata.usgs.gov/mrds,10308658,Alaska,EPSG:4326,"",Unnamed,",",Fluvial placer tin,GEO,ALL2242
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10163658,https://mrdata.usgs.gov/mrds,10163658,California,EPSG:4326,"Tungsten - 0060270687,Darwin Dist",Promontory,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL2243
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10197696,https://mrdata.usgs.gov/mrds,10197696,Montana,EPSG:4326,Hopkins Placer,Ogden Mountain Placer,",",Fluvial placer tungsten,GEO,ALL2244
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10008602,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10164209",https://mrdata.usgs.gov/mrds,"10164209,10008602",California,EPSG:4326,"Tiptop Mine,Laurel-Mcgee Rare Ii Area,",Tiptop,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo",GEO,ALL2245
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10017701,https://mrdata.usgs.gov/mrds,10017701,Colorado,EPSG:4326,"2,Legal Tender,4 Patented Claims,3,New Market,Golden Queen,Golden Queen No,Unpatented Claim",en Queen,",","Fluvial placer tungsten,Greisen tungsten- molybdenum±Bi,Vein tungsten",GEO,ALL2246
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10046799,https://mrdata.usgs.gov/mrds,10046799,Nevada,EPSG:4326,"",Dust,",,","Hypozonal orogenic gold,Mesozonal orogenic gold,Oxidized intrusion- related gold",GEO,ALL2247
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10213183,https://mrdata.usgs.gov/mrds,10213183,California,EPSG:4326,"Skylark,Big Ben",Osdick,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein tungsten",GEO,ALL2248
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10008635,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10115743",https://mrdata.usgs.gov/mrds,"10008635,10115743",California,EPSG:4326,"Bronze,Live Oak",Bronze,",,,pper,,,,","Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo,Vein polymetallic,Vein tungsten,Vein polymetallic",GEO,ALL2249
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10008585,https://mrdata.usgs.gov/mrds,10008585,California,EPSG:4326,"",Dobbins Ranch,"","Greisen tungsten- molybdenum±Bi,Vein tungsten",GEO,ALL2250
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10097891,https://mrdata.usgs.gov/mrds,10097891,Nevada,EPSG:4326,"",Dog s,"","Fluvial placer tungsten,Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo,Vein tungsten",GEO,ALL2251
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10163395,https://mrdata.usgs.gov/mrds,10163395,California,EPSG:4326,"Tip Top Mng,Co,Sellars Mine",1,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL2252
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10281606,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009499",https://mrdata.usgs.gov/mrds,"10009499,10281606",Alaska,EPSG:4326,"Gene E,Elaine,Edward,Peters,F,s Third Try,Pruitt,Lake Cr Disc,Lake Cr 1-10,Spring Creek,Wally,Skyview,Wallace E,Primus,Stuart,Drift,Maple Leaf Gold,s Second Chance,Gordon,Caroline,Eureka,Armstrong,Taltaamus,Jack H,Tapp,s Last Shot,Rivers,Adl 302619-302622,Perry E,Paul W,Kenneth,s One,Meader,Guy,",Lake,",,,,pper,,,,pper,,","Fluvial placer tungsten,Greisen tungsten- molybdenum±Bi,",GEO,ALL2253
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10090606,https://mrdata.usgs.gov/mrds,10090606,Wyoming,EPSG:4326,Nigger Hill Tin Deposits,Negro Hill placers,",,",Fluvial placer garnet,GEO,ALL2254
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10126275,https://mrdata.usgs.gov/mrds,10126275,New Mexico,EPSG:4326,"",Homestake South,"",Greisen tungsten- molybdenum±Bi,GEO,ALL2256
